ImageName, PSNR, SSIM, MSE
12_patch12_21_001,29.4773,0.5446,52.029297
12_patch12_22_000,29.3788,0.5302,52.899414
12_patch12_22_001,29.3869,0.5335,52.071777
12_patch12_22_002,29.7813,0.5504,49.258057
12_patch12_23_000,29.1910,0.5076,52.713867
12_patch12_23_001,29.0301,0.5147,52.983154
12_patch12_23_002,28.8388,0.5069,54.207520
12_patch12_23_003,28.9253,0.5231,52.093994
12_patch12_24_000,32.4920,0.6943,32.071289
12_patch12_24_001,28.8234,0.4979,55.009766
12_patch12_24_002,29.0898,0.5080,53.812256
12_patch12_24_003,32.4680,0.6912,31.274170
12_patch12_24_004,27.1956,0.5843,59.527832
12_patch12_24_005,29.1470,0.5130,52.262939
12_patch12_24_006,29.2154,0.5333,52.213623
12_patch12_24_007,31.9810,0.6795,36.333008
12_patch12_25_000,31.8100,0.6836,34.174805
12_patch12_25_001,32.3773,0.6898,31.676514
12_patch12_25_002,32.1979,0.6685,34.574951
12_patch12_25_003,31.7599,0.6578,35.922363
12_patch12_25_004,31.4070,0.6366,39.717773
12_patch12_25_005,28.7828,0.5421,51.559570
12_patch12_25_006,29.0213,0.5150,52.773193
12_patch12_25_007,29.6421,0.5286,51.298096
12_patch12_25_008,31.7929,0.6741,35.469482
12_patch12_25_009,25.2306,0.5613,68.617920
12_patch12_25_010,29.1766,0.5294,51.911865
12_patch12_25_011,29.3897,0.5348,51.647705
12_patch12_25_012,32.1207,0.6744,33.403809
12_patch12_26_000,31.9488,0.6835,34.889648
12_patch12_26_001,32.0411,0.6954,33.141113
12_patch12_26_002,32.4043,0.7211,29.568359
12_patch12_26_003,31.5235,0.6658,37.785645
12_patch12_26_004,31.3428,0.6857,36.480469
12_patch12_26_005,31.2101,0.6704,36.211914
12_patch12_26_006,31.7765,0.6680,35.319336
12_patch12_26_007,31.6648,0.6568,37.070557
12_patch12_26_008,30.7155,0.6229,41.273193
12_patch12_26_009,31.8719,0.6809,33.943604
12_patch12_26_010,28.4869,0.5503,52.439453
12_patch12_26_011,28.8484,0.5126,55.332520
12_patch12_26_012,28.8650,0.5101,55.759033
12_patch12_26_013,31.1613,0.6505,38.330322
12_patch12_26_014,25.7952,0.5994,61.161621
12_patch12_26_015,29.1515,0.5612,48.992920
12_patch12_26_016,29.0759,0.5223,53.569092
12_patch12_26_017,29.1390,0.5299,53.971191
12_patch12_26_018,30.5828,0.6417,41.859131
12_patch12_27_000,31.3081,0.6658,37.238770
12_patch12_27_001,31.6445,0.6712,34.903076
12_patch12_27_002,31.0244,0.6826,37.673828
12_patch12_27_003,31.3621,0.6579,36.769775
12_patch12_27_004,31.8870,0.6902,34.484375
12_patch12_27_005,32.5836,0.7237,29.244141
12_patch12_27_006,31.0764,0.6702,39.625732
12_patch12_27_007,31.5721,0.6609,37.463379
12_patch12_27_008,32.2775,0.7033,32.550781
12_patch12_27_009,31.7168,0.6651,34.855469
12_patch12_27_010,30.9732,0.6335,39.596191
12_patch12_27_011,29.8984,0.5894,46.188477
12_patch12_27_012,32.4188,0.7002,31.756592
12_patch12_27_013,29.3926,0.5866,47.411133
12_patch12_27_014,28.7685,0.5508,54.093750
12_patch12_27_015,29.1695,0.5283,52.415771
12_patch12_27_016,29.2948,0.5082,51.988770
12_patch12_27_017,31.0701,0.6572,37.074219
12_patch12_27_018,25.3837,0.5976,66.425537
12_patch12_27_019,29.0336,0.5424,51.918213
12_patch12_27_020,28.8858,0.5175,54.105713
12_patch12_27_021,29.1365,0.5164,52.204346
12_patch12_27_022,31.3082,0.6778,37.925537
12_patch12_28_000,30.4433,0.6450,44.027588
12_patch12_28_001,31.3359,0.6882,36.619873
12_patch12_28_002,31.5590,0.7061,34.538330
12_patch12_28_003,31.2978,0.7196,31.353516
12_patch12_28_004,31.0522,0.6449,39.346436
12_patch12_28_005,31.7481,0.6802,34.353027
12_patch12_28_006,32.0109,0.7073,31.675293
12_patch12_28_007,30.8184,0.6827,36.919434
12_patch12_28_008,31.9666,0.7254,31.031982
12_patch12_28_009,30.7411,0.6583,40.573975
12_patch12_28_010,30.7359,0.6222,42.201904
12_patch12_28_011,32.0997,0.7163,32.222168
12_patch12_28_012,30.6736,0.6423,41.119873
12_patch12_28_013,30.3228,0.6153,43.304932
12_patch12_28_014,29.3147,0.5946,48.390381
12_patch12_28_015,29.7668,0.5834,48.486328
12_patch12_28_016,31.6079,0.6818,35.591553
12_patch12_28_017,29.4254,0.5864,48.973877
12_patch12_28_018,29.3749,0.5656,51.904053
12_patch12_28_019,29.5548,0.5412,49.732178
12_patch12_28_020,29.6881,0.5969,47.241211
12_patch12_28_021,30.2597,0.6480,41.312744
12_patch12_28_022,25.2505,0.5673,70.227051
12_patch12_28_023,29.5209,0.6009,49.233398
12_patch12_28_024,29.3532,0.5796,50.404541
12_patch12_28_025,30.7444,0.6663,41.657227
12_patch12_29_000,30.3793,0.6400,41.211426
12_patch12_29_001,30.6250,0.6715,39.246582
12_patch12_29_002,30.8413,0.6966,36.761230
12_patch12_29_003,32.5008,0.7433,28.309814
12_patch12_29_004,30.9950,0.6554,39.272949
12_patch12_29_005,31.1183,0.6602,37.637695
12_patch12_29_006,31.8846,0.7067,31.070068
12_patch12_29_007,31.5525,0.6768,36.230957
12_patch12_29_008,30.0517,0.5657,48.818604
12_patch12_29_009,31.0188,0.6786,39.802979
12_patch12_29_010,32.3141,0.7236,31.290039
12_patch12_29_011,31.2182,0.6667,36.120605
12_patch12_29_012,30.3550,0.6240,43.483398
12_patch12_29_013,31.4453,0.6933,33.554688
12_patch12_29_014,27.6283,0.5106,60.079102
12_patch12_29_015,30.6167,0.6642,40.604492
12_patch12_29_016,29.8005,0.5490,51.706787
12_patch12_29_017,30.0526,0.6238,47.742432
12_patch12_29_018,31.2618,0.7126,36.692139
12_patch12_29_019,30.1411,0.5714,49.321533
12_patch12_29_020,30.4919,0.6092,44.374023
12_patch12_29_021,31.2183,0.6666,37.681152
12_patch12_29_022,29.0624,0.5971,48.631592
12_patch12_29_023,28.6602,0.5754,52.648682
12_patch12_29_024,29.5844,0.6461,43.304443
12_patch12_29_025,25.5112,0.5777,68.104004
12_patch12_29_026,29.0557,0.6110,48.067871
12_patch12_29_027,27.8645,0.5531,58.260498
12_patch12_29_028,29.9247,0.5935,49.099609
12_patch12_29_029,29.1939,0.6189,46.474121
12_patch12_30_000,32.1615,0.7268,29.342529
12_patch12_30_001,31.4721,0.7299,28.518555
12_patch12_30_002,31.6968,0.6841,35.869385
12_patch12_30_003,29.4157,0.5547,55.014648
12_patch12_30_004,31.5856,0.6915,34.011230
12_patch12_30_005,31.9798,0.7147,31.844482
