Epoch	TrainLoss	ValidLoss	PSNR	PSNR_std	SSIM	SSIM_std	NRMSE	NRMSE_std
1	0.06674424	0.82846798	24.460	1.978	0.656	0.074	0.061	0.014
2	0.06608541	0.89071593	24.036	2.147	0.635	0.093	0.065	0.015
3	0.06598890	0.88374846	24.044	2.191	0.634	0.094	0.065	0.016
4	0.06594023	0.92358989	24.236	2.083	0.643	0.087	0.063	0.015
5	0.06593715	0.88308194	24.218	2.064	0.646	0.087	0.063	0.015
6	0.06590004	0.87046358	23.980	2.201	0.632	0.097	0.065	0.016
7	0.06588499	0.90127200	23.977	2.211	0.632	0.097	0.065	0.016
8	0.06587829	0.91102901	23.869	2.258	0.629	0.101	0.066	0.017
9	0.06586079	0.89874024	23.731	2.329	0.624	0.106	0.067	0.017
10	0.06586898	0.89239707	24.222	2.111	0.643	0.088	0.063	0.015
11	0.06581660	0.88052803	24.110	2.146	0.639	0.091	0.064	0.015
12	0.06582990	0.86909438	23.884	2.237	0.629	0.100	0.066	0.016
13	0.06580052	0.86361485	23.879	2.231	0.629	0.100	0.066	0.016
14	0.06581904	0.88488730	24.213	2.119	0.642	0.089	0.063	0.015
15	0.06581588	0.87862564	23.812	2.283	0.626	0.103	0.067	0.017
16	0.06580676	0.88554836	23.926	2.226	0.631	0.099	0.066	0.016
17	0.06579812	0.89663534	24.068	2.170	0.637	0.094	0.065	0.016
18	0.06577138	0.86148845	24.036	2.173	0.634	0.095	0.065	0.016
19	0.06579360	0.86892213	23.970	2.229	0.632	0.098	0.065	0.016
20	0.06576562	0.89173560	24.138	2.113	0.640	0.090	0.064	0.015
21	0.06575788	0.90301116	23.924	2.250	0.630	0.099	0.066	0.016
22	0.06574527	0.89064205	23.863	2.262	0.629	0.100	0.066	0.017
23	0.06575090	0.89118183	24.033	2.200	0.635	0.096	0.065	0.016
24	0.06573198	0.88682484	23.899	2.259	0.629	0.100	0.066	0.017
25	0.06577540	0.88358372	23.911	2.268	0.628	0.101	0.066	0.017
26	0.06573482	0.88592687	23.977	2.202	0.632	0.098	0.065	0.016
27	0.06573910	0.88418539	23.869	2.291	0.628	0.102	0.066	0.017
28	0.06571902	0.89837694	24.045	2.224	0.635	0.095	0.065	0.016
29	0.06571975	0.87318622	23.948	2.219	0.632	0.098	0.066	0.016
30	0.06570159	0.89658459	24.030	2.197	0.634	0.096	0.065	0.016
31	0.06572335	0.90945688	23.943	2.238	0.631	0.099	0.066	0.016
32	0.06571389	0.87683284	23.855	2.263	0.628	0.101	0.066	0.017
33	0.06572780	0.87822292	23.723	2.345	0.623	0.106	0.067	0.018
34	0.06570733	0.87329593	24.034	2.186	0.635	0.096	0.065	0.016
35	0.06571486	0.89900638	23.774	2.332	0.624	0.105	0.067	0.017
36	0.06570916	0.89648179	24.014	2.197	0.634	0.095	0.065	0.016
37	0.06568873	0.89083111	23.908	2.261	0.630	0.100	0.066	0.017
38	0.06568880	0.86987706	24.120	2.141	0.639	0.091	0.064	0.015
39	0.06568620	0.90251470	23.801	2.300	0.625	0.104	0.067	0.017
40	0.06569574	0.89786825	23.943	2.256	0.630	0.099	0.066	0.017
41	0.06569255	0.88161359	23.706	2.358	0.623	0.107	0.068	0.018
42	0.06565753	0.89641972	23.828	2.309	0.627	0.103	0.067	0.017
43	0.06567071	0.88505239	23.902	2.264	0.630	0.100	0.066	0.017
44	0.06563509	0.89656951	23.954	2.237	0.632	0.098	0.066	0.016
45	0.06564457	0.89424398	23.879	2.251	0.629	0.101	0.066	0.017
46	0.06560876	0.87869687	23.883	2.297	0.629	0.101	0.066	0.017
47	0.06558550	0.90427659	23.836	2.303	0.628	0.103	0.067	0.017
48	0.06554784	0.88878703	23.792	2.335	0.626	0.104	0.067	0.017
49	0.06553504	0.88833371	23.839	2.325	0.627	0.103	0.067	0.017
50	0.06553210	0.89068167	23.809	2.343	0.626	0.104	0.067	0.017
51	0.06554622	0.89612805	23.776	2.328	0.625	0.104	0.067	0.017
52	0.06552266	0.88745476	23.718	2.376	0.623	0.107	0.068	0.018
53	0.06551688	0.89485477	23.869	2.311	0.628	0.102	0.066	0.017
54	0.06550490	0.88298853	23.859	2.305	0.627	0.102	0.066	0.017
55	0.06551164	0.90012551	23.797	2.338	0.626	0.104	0.067	0.017
56	0.06549078	0.88716467	23.832	2.327	0.627	0.103	0.067	0.017
57	0.06549140	0.88336075	23.810	2.342	0.626	0.104	0.067	0.017
58	0.06549470	0.87909776	23.951	2.255	0.632	0.098	0.066	0.017
59	0.06549759	0.89484980	23.878	2.287	0.629	0.101	0.066	0.017
60	0.06549592	0.89012226	23.844	2.312	0.628	0.102	0.067	0.017
61	0.06549755	0.89078122	23.947	2.274	0.632	0.098	0.066	0.017
62	0.06548258	0.91204971	23.772	2.359	0.625	0.105	0.067	0.018
63	0.06549151	0.90025741	23.987	2.254	0.633	0.097	0.065	0.017
64	0.06549211	0.88920805	23.832	2.333	0.627	0.103	0.067	0.017
65	0.06547745	0.89587967	23.803	2.341	0.626	0.104	0.067	0.018
66	0.06549182	0.89464274	23.914	2.284	0.631	0.099	0.066	0.017
67	0.06549586	0.88795921	23.974	2.234	0.634	0.097	0.065	0.016
68	0.06546735	0.89703766	23.859	2.308	0.629	0.101	0.066	0.017
69	0.06547258	0.89199183	23.820	2.312	0.627	0.103	0.067	0.017
70	0.06547230	0.88873382	23.862	2.324	0.629	0.101	0.066	0.017
71	0.06548216	0.89922158	23.788	2.349	0.625	0.105	0.067	0.018
72	0.06547957	0.90275681	23.785	2.345	0.626	0.104	0.067	0.018
73	0.06544405	0.88993975	23.799	2.349	0.626	0.104	0.067	0.018
74	0.06548306	0.88700287	23.868	2.305	0.629	0.101	0.066	0.017
75	0.06546781	0.89856249	23.783	2.361	0.626	0.104	0.067	0.018
76	0.06545514	0.87934797	23.744	2.369	0.625	0.106	0.067	0.018
77	0.06545111	0.88964387	23.849	2.327	0.628	0.102	0.066	0.017
78	0.06547688	0.87798737	23.842	2.339	0.628	0.102	0.067	0.017
79	0.06546414	0.88932531	23.871	2.308	0.629	0.101	0.066	0.017
80	0.06547008	0.88609621	23.822	2.336	0.627	0.103	0.067	0.017
81	0.06547525	0.87661293	23.806	2.366	0.626	0.104	0.067	0.018
82	0.06547290	0.88652937	23.839	2.327	0.628	0.102	0.067	0.017
