ImageName, PSNR, SSIM, MSE
09_patch09_35_001,28.4938,0.5450,51.231445
09_patch09_36_000,27.4878,0.5377,56.644287
09_patch09_36_001,26.7994,0.4999,59.001465
09_patch09_36_002,27.3584,0.5271,60.652588
09_patch09_36_003,27.5320,0.5099,56.220947
09_patch09_36_004,27.4375,0.5242,60.622559
09_patch09_37_000,26.7987,0.4934,61.208740
09_patch09_37_001,26.2829,0.4857,63.471924
09_patch09_37_002,26.0801,0.5077,63.725342
09_patch09_37_003,26.0080,0.4694,67.286621
09_patch09_37_004,26.9997,0.5258,57.501709
09_patch09_37_005,26.5517,0.4971,63.600586
09_patch09_37_006,27.0898,0.4947,55.774902
09_patch09_38_000,27.3216,0.5190,60.230957
09_patch09_38_001,26.7018,0.5231,58.337402
09_patch09_38_002,26.0919,0.5113,64.916504
09_patch09_38_003,25.7460,0.5134,60.983887
09_patch09_38_004,28.0876,0.5238,59.187744
09_patch09_38_005,26.0092,0.4818,67.363281
09_patch09_38_006,26.5662,0.5236,57.309570
09_patch09_38_007,28.7698,0.5480,55.380615
09_patch09_38_008,26.5891,0.4951,65.930176
09_patch09_38_009,26.9887,0.4803,58.203613
09_patch09_38_010,27.8416,0.5180,53.511963
09_patch09_38_011,27.3993,0.5307,59.156982
09_patch09_39_000,26.3272,0.4672,64.043701
09_patch09_39_001,27.4736,0.5042,60.711670
09_patch09_39_002,26.6564,0.4909,61.423340
09_patch09_39_003,26.9103,0.5183,57.574463
09_patch09_39_004,24.8208,0.4487,70.474609
09_patch09_39_005,25.4462,0.4812,62.987305
09_patch09_39_006,27.7618,0.5142,58.679443
09_patch09_39_007,24.9352,0.4357,72.343750
09_patch09_39_008,25.4780,0.4515,65.133789
09_patch09_39_009,25.8950,0.4704,68.269043
09_patch09_39_010,26.2601,0.4597,61.904297
09_patch09_39_011,26.6146,0.4936,58.782715
09_patch09_39_012,27.1321,0.5063,56.605957
09_patch09_39_013,27.0931,0.5112,61.178711
09_patch09_40_000,27.5769,0.5042,60.790527
09_patch09_40_001,27.9764,0.5081,58.743164
09_patch09_40_002,27.9199,0.5092,60.475586
09_patch09_40_003,27.4732,0.5139,58.787109
09_patch09_40_004,27.4143,0.4924,59.249268
09_patch09_40_005,26.8902,0.5043,63.126465
09_patch09_40_006,26.1727,0.4838,63.029785
09_patch09_40_007,25.7722,0.4530,67.006104
09_patch09_40_008,26.5454,0.4700,64.307861
09_patch09_40_009,27.2516,0.5246,59.250488
09_patch09_40_010,27.3025,0.5043,59.763428
09_patch09_40_011,26.4702,0.4841,60.886963
09_patch09_40_012,27.1211,0.5216,58.112793
09_patch09_40_013,25.2498,0.4623,70.885498
09_patch09_40_014,26.1434,0.5126,61.968750
09_patch09_40_015,25.0124,0.4794,69.291748
09_patch09_40_016,25.9298,0.5216,61.122803
09_patch09_40_017,27.3629,0.5168,61.404053
09_patch09_40_018,24.8566,0.4794,72.715576
09_patch09_40_019,26.1987,0.5022,59.279053
09_patch09_40_020,26.2748,0.4866,64.695801
09_patch09_40_021,26.8970,0.5077,58.042480
09_patch09_40_022,27.6294,0.5216,54.925537
09_patch09_40_023,27.4262,0.5223,61.613525
09_patch09_40_024,28.2383,0.5365,50.243164
09_patch09_41_000,26.6916,0.4828,59.414795
09_patch09_41_001,26.5113,0.4988,61.631592
09_patch09_41_002,27.6451,0.5247,58.333740
09_patch09_41_003,26.7685,0.4823,63.469238
09_patch09_41_004,26.3409,0.4788,69.505127
09_patch09_41_005,26.3856,0.4593,68.458984
09_patch09_41_006,26.8109,0.4814,62.517090
09_patch09_41_007,27.1912,0.5104,60.217041
09_patch09_41_008,26.6226,0.4637,63.958740
09_patch09_41_009,25.5129,0.4372,67.282227
09_patch09_41_010,24.9313,0.4358,69.094727
09_patch09_41_011,26.0913,0.4624,67.936768
09_patch09_41_012,26.7966,0.4842,66.526367
09_patch09_41_013,26.5550,0.4799,67.928955
09_patch09_41_014,27.3548,0.5153,56.750977
09_patch09_41_015,26.6265,0.4947,61.892822
09_patch09_41_016,26.4626,0.5069,63.332275
09_patch09_41_017,26.3443,0.4853,62.135010
09_patch09_41_018,26.9067,0.4719,63.058594
09_patch09_41_019,25.8727,0.4699,63.382812
09_patch09_41_020,26.9073,0.5143,57.228027
09_patch09_41_021,24.7928,0.4570,71.363770
09_patch09_41_022,25.9426,0.4991,62.257324
09_patch09_41_023,26.9036,0.4738,61.780518
09_patch09_41_024,24.4442,0.4320,73.513672
09_patch09_41_025,25.5981,0.4702,61.986084
09_patch09_41_026,26.1893,0.4572,68.055908
09_patch09_41_027,24.2687,0.4384,74.523682
09_patch09_41_028,25.7908,0.4984,59.206543
09_patch09_41_029,25.4336,0.4696,68.402344
09_patch09_41_030,26.3832,0.5006,61.727539
09_patch09_41_031,26.9407,0.5058,60.462891
09_patch09_41_032,27.1626,0.5165,57.599365
09_patch09_41_033,26.6457,0.4871,64.269287
09_patch09_41_034,27.1237,0.4830,58.661865
09_patch09_42_000,26.2675,0.4674,65.078613
09_patch09_42_001,26.0120,0.4572,69.571533
09_patch09_42_002,27.0818,0.5033,61.758545
09_patch09_42_003,26.2133,0.4772,64.381836
09_patch09_42_004,25.6287,0.4433,66.724854
09_patch09_42_005,25.8088,0.4407,67.062256
09_patch09_42_006,25.6212,0.4571,66.970215
09_patch09_42_007,25.6055,0.4416,69.431396
09_patch09_42_008,25.4229,0.4130,75.297607
09_patch09_42_009,24.3983,0.4190,75.245361
09_patch09_42_010,24.0742,0.4091,78.545166
09_patch09_42_011,26.5805,0.4848,61.585693
09_patch09_42_012,24.8683,0.4338,74.521240
09_patch09_42_013,25.8132,0.4656,66.825684
09_patch09_42_014,25.9566,0.4663,69.288818
09_patch09_42_015,26.2236,0.4749,64.450928
09_patch09_42_016,25.1965,0.4629,67.032715
09_patch09_42_017,24.7815,0.4525,66.739258
09_patch09_42_018,25.8663,0.4899,59.879395
09_patch09_42_019,26.5582,0.4814,63.759766
