ImageName, PSNR, SSIM, MSE
07_patch07_33_001,30.7600,0.7449,35.710938
07_patch07_33_002,29.8493,0.7209,39.196045
07_patch07_33_003,30.2241,0.7307,35.504883
07_patch07_33_004,30.3438,0.7371,37.513428
07_patch07_34_000,31.4341,0.7468,35.300293
07_patch07_34_001,30.6352,0.7305,37.927002
07_patch07_34_002,29.4263,0.7191,39.582764
07_patch07_34_003,29.4886,0.6995,39.651855
07_patch07_34_004,30.4154,0.7174,38.656494
07_patch07_34_005,29.1601,0.7346,40.460938
07_patch07_34_006,29.3577,0.7362,41.201660
07_patch07_34_007,29.3646,0.7414,37.457520
07_patch07_34_008,29.0289,0.7403,39.881348
07_patch07_34_009,31.1390,0.7160,37.149658
07_patch07_34_010,30.7916,0.7545,33.940186
07_patch07_35_000,30.2719,0.7435,40.828125
07_patch07_35_001,30.0133,0.7139,40.201172
07_patch07_35_002,30.1565,0.7264,38.098389
07_patch07_35_003,29.6927,0.7216,40.918213
07_patch07_35_004,29.5315,0.6981,40.931641
07_patch07_35_005,29.7702,0.7261,39.621094
07_patch07_35_006,29.6888,0.7312,41.292236
07_patch07_35_007,28.4087,0.7354,45.239502
07_patch07_35_008,28.7690,0.7279,43.771729
07_patch07_35_009,29.6878,0.7373,38.747314
07_patch07_35_010,29.4790,0.7330,39.937256
07_patch07_35_011,29.8299,0.7462,38.747070
07_patch07_35_012,29.8525,0.6750,43.834229
07_patch07_35_013,30.5326,0.7405,37.457520
07_patch07_36_000,30.4928,0.7252,37.611816
07_patch07_36_001,29.7607,0.7208,40.395264
07_patch07_36_002,29.8321,0.7272,40.275879
07_patch07_36_003,27.9842,0.7246,49.684326
07_patch07_36_004,29.3854,0.6625,44.660645
07_patch07_36_005,28.4260,0.7193,45.990479
07_patch07_36_006,30.4512,0.7418,37.858398
07_patch07_36_007,30.5879,0.6930,39.604980
07_patch07_36_008,29.9135,0.7597,40.207764
07_patch07_36_009,30.3275,0.6747,42.052002
07_patch07_36_010,29.8761,0.7311,41.719971
07_patch07_36_011,29.4967,0.7092,41.952881
07_patch07_36_012,29.0158,0.7105,43.440186
07_patch07_36_013,29.1909,0.7252,43.153076
07_patch07_36_014,27.9460,0.7205,45.035645
07_patch07_36_015,27.7108,0.7064,47.405029
