Epoch	TrainLoss	ValidLoss	PSNR	PSNR_std	SSIM	SSIM_std	NRMSE	NRMSE_std
1	0.25571183	0.18935796	27.089	1.368	0.831	0.024	0.045	0.007
2	0.21748953	0.17011682	27.160	1.374	0.833	0.025	0.044	0.007
3	0.21232006	0.16693258	27.307	1.364	0.838	0.025	0.044	0.007
4	0.21016616	0.16082042	27.363	1.377	0.839	0.025	0.043	0.007
5	0.20860361	0.16284061	27.419	1.383	0.840	0.024	0.043	0.007
6	0.20975866	0.16091072	27.482	1.370	0.842	0.023	0.043	0.007
7	0.20724751	0.15986266	27.345	1.381	0.839	0.024	0.043	0.007
8	0.20673078	0.15907394	27.498	1.372	0.843	0.023	0.043	0.007
9	0.20649610	0.15702807	27.523	1.376	0.843	0.023	0.043	0.007
10	0.20491350	0.15836077	27.527	1.377	0.843	0.023	0.043	0.007
11	0.20440214	0.15831498	27.485	1.385	0.842	0.024	0.043	0.007
12	0.20432017	0.15883927	27.490	1.382	0.842	0.024	0.043	0.007
13	0.20543140	0.15584962	27.546	1.361	0.844	0.023	0.042	0.007
14	0.20299473	0.15827716	27.518	1.385	0.843	0.024	0.043	0.007
15	0.20361520	0.15702355	27.510	1.366	0.843	0.024	0.043	0.007
16	0.20213519	0.15836840	27.482	1.383	0.842	0.024	0.043	0.007
17	0.20381619	0.15813564	27.466	1.379	0.841	0.024	0.043	0.007
18	0.20385306	0.16449660	27.527	1.383	0.843	0.024	0.043	0.007
19	0.20398008	0.15798250	27.500	1.385	0.842	0.024	0.043	0.007
20	0.20198084	0.15728811	27.526	1.383	0.843	0.024	0.043	0.007
21	0.20132764	0.15836546	27.450	1.387	0.841	0.024	0.043	0.007
22	0.20118352	0.16198747	27.516	1.371	0.842	0.024	0.043	0.007
23	0.20303039	0.15659643	27.547	1.375	0.844	0.023	0.042	0.007
24	0.20222614	0.15884886	27.542	1.376	0.844	0.024	0.042	0.007
25	0.20109208	0.15547548	27.559	1.374	0.844	0.023	0.042	0.007
26	0.20133640	0.15661735	27.549	1.369	0.844	0.023	0.042	0.007
27	0.20099061	0.15792471	27.575	1.375	0.844	0.023	0.042	0.007
28	0.20191347	0.15642219	27.514	1.383	0.843	0.024	0.043	0.007
29	0.20141466	0.16188933	27.542	1.383	0.844	0.024	0.042	0.007
30	0.20056662	0.15685208	27.537	1.385	0.843	0.024	0.043	0.007
31	0.20108007	0.15565324	27.537	1.376	0.843	0.024	0.043	0.007
32	0.20046774	0.16236601	27.533	1.391	0.843	0.024	0.043	0.007
33	0.20071160	0.15600393	27.523	1.372	0.843	0.024	0.043	0.007
34	0.19991702	0.15845779	27.541	1.377	0.843	0.023	0.043	0.007
35	0.20039754	0.15574823	27.554	1.375	0.844	0.023	0.042	0.007
36	0.19913615	0.15490287	27.550	1.364	0.844	0.024	0.042	0.007
37	0.19927269	0.15641503	27.572	1.369	0.844	0.023	0.042	0.007
38	0.19912551	0.15823231	27.565	1.369	0.844	0.023	0.042	0.007
39	0.19948167	0.15736802	27.532	1.392	0.843	0.024	0.043	0.007
40	0.19932072	0.15607822	27.542	1.380	0.843	0.024	0.042	0.007
41	0.19938825	0.15819652	27.559	1.384	0.843	0.024	0.042	0.007
42	0.19798156	0.15551320	27.559	1.372	0.844	0.023	0.042	0.007
43	0.19944276	0.15603003	27.547	1.378	0.844	0.023	0.042	0.007
44	0.19885248	0.15943489	27.548	1.387	0.843	0.024	0.042	0.007
45	0.19902151	0.15516672	27.553	1.376	0.844	0.024	0.042	0.007
46	0.20015219	0.15506907	27.566	1.383	0.844	0.024	0.042	0.007
47	0.19802311	0.15656010	27.558	1.384	0.844	0.023	0.042	0.007
48	0.19796276	0.15482159	27.549	1.374	0.844	0.024	0.042	0.007
49	0.19980999	0.15754841	27.581	1.371	0.845	0.023	0.042	0.007
50	0.19936817	0.15638922	27.580	1.373	0.844	0.023	0.042	0.007
51	0.19952835	0.15669648	27.542	1.378	0.843	0.024	0.042	0.007
52	0.19702339	0.15606146	27.565	1.376	0.844	0.023	0.042	0.007
53	0.19769441	0.15529360	27.525	1.377	0.843	0.024	0.043	0.007
54	0.19773078	0.15545933	27.573	1.377	0.844	0.023	0.042	0.007
55	0.19905263	0.15594959	27.544	1.367	0.844	0.023	0.042	0.007
56	0.19777912	0.15562983	27.579	1.375	0.844	0.023	0.042	0.007
57	0.19816998	0.15728068	27.589	1.376	0.845	0.023	0.042	0.007
58	0.19684624	0.15583139	27.559	1.381	0.844	0.024	0.042	0.007
59	0.19676717	0.15561588	27.571	1.383	0.844	0.023	0.042	0.007
60	0.19729268	0.15515047	27.580	1.380	0.845	0.024	0.042	0.007
61	0.19710977	0.15484747	27.565	1.367	0.844	0.023	0.042	0.007
62	0.19780424	0.15483200	27.587	1.372	0.845	0.023	0.042	0.007
63	0.19650071	0.15482512	27.568	1.370	0.844	0.023	0.042	0.007
64	0.19725737	0.15562846	27.556	1.380	0.844	0.024	0.042	0.007
65	0.19914850	0.15462767	27.574	1.374	0.845	0.024	0.042	0.007
66	0.19623047	0.15471913	27.578	1.373	0.844	0.023	0.042	0.007
67	0.19700426	0.15722497	27.573	1.387	0.844	0.024	0.042	0.007
68	0.19843955	0.15596551	27.564	1.389	0.844	0.024	0.042	0.007
69	0.19691869	0.15502184	27.593	1.380	0.845	0.023	0.042	0.007
70	0.19789125	0.15731547	27.563	1.383	0.844	0.023	0.042	0.007
71	0.19696709	0.15530790	27.577	1.375	0.844	0.023	0.042	0.007
72	0.19623263	0.15535906	27.590	1.378	0.845	0.023	0.042	0.007
73	0.19572318	0.15641567	27.567	1.388	0.844	0.023	0.042	0.007
74	0.19640630	0.15522519	27.569	1.387	0.844	0.024	0.042	0.007
75	0.19643861	0.15517522	27.572	1.383	0.844	0.024	0.042	0.007
76	0.19515095	0.15471531	27.584	1.383	0.844	0.024	0.042	0.007
77	0.19840294	0.15483205	27.591	1.377	0.845	0.023	0.042	0.007
78	0.19562423	0.15575200	27.571	1.387	0.844	0.024	0.042	0.007
79	0.19702575	0.15564173	27.572	1.385	0.844	0.024	0.042	0.007
80	0.19602127	0.15611733	27.559	1.385	0.844	0.024	0.042	0.007
81	0.19580934	0.15528643	27.573	1.386	0.844	0.024	0.042	0.007
82	0.19736527	0.15539037	27.582	1.383	0.845	0.023	0.042	0.007
83	0.19634566	0.15562999	27.578	1.382	0.845	0.024	0.042	0.007
84	0.19676429	0.15539839	27.561	1.379	0.844	0.024	0.042	0.007
85	0.19616908	0.15441806	27.587	1.367	0.845	0.023	0.042	0.007
86	0.19742123	0.15623255	27.581	1.386	0.844	0.024	0.042	0.007
87	0.19731185	0.15557834	27.561	1.381	0.844	0.023	0.042	0.007
88	0.19910756	0.15569377	27.580	1.383	0.845	0.023	0.042	0.007
89	0.19434545	0.15582321	27.570	1.377	0.844	0.023	0.042	0.007
90	0.19518170	0.15584436	27.558	1.396	0.844	0.024	0.042	0.007
91	0.19521373	0.15538162	27.576	1.381	0.844	0.023	0.042	0.007
92	0.19560750	0.15625752	27.579	1.381	0.844	0.023	0.042	0.007
93	0.19632752	0.15494896	27.571	1.383	0.844	0.024	0.042	0.007
94	0.19723258	0.15488355	27.580	1.378	0.845	0.023	0.042	0.007
95	0.19519435	0.15644965	27.574	1.381	0.844	0.024	0.042	0.007
96	0.19575335	0.15484838	27.568	1.382	0.844	0.023	0.042	0.007
97	0.19564533	0.15660643	27.560	1.388	0.844	0.024	0.042	0.007
98	0.19655816	0.15519122	27.559	1.374	0.844	0.024	0.042	0.007
99	0.19703471	0.15619660	27.573	1.382	0.844	0.023	0.042	0.007
100	0.19430906	0.15514458	27.580	1.385	0.845	0.024	0.042	0.007
101	0.19719293	0.15574138	27.576	1.381	0.844	0.024	0.042	0.007
102	0.19787982	0.15591301	27.583	1.380	0.845	0.023	0.042	0.007
103	0.19688631	0.15559896	27.570	1.382	0.844	0.023	0.042	0.007
104	0.19578506	0.15502964	27.580	1.385	0.845	0.023	0.042	0.007
105	0.19540577	0.15592044	27.573	1.386	0.844	0.024	0.042	0.007
106	0.19581671	0.15632780	27.564	1.387	0.844	0.023	0.042	0.007
107	0.19545252	0.15563825	27.593	1.382	0.845	0.023	0.042	0.007
108	0.19570570	0.15465750	27.573	1.384	0.844	0.024	0.042	0.007
109	0.19491385	0.15518844	27.578	1.386	0.845	0.024	0.042	0.007
110	0.19771942	0.15527522	27.569	1.384	0.844	0.024	0.042	0.007
111	0.19559086	0.15546661	27.569	1.384	0.844	0.023	0.042	0.007
112	0.19668358	0.15548666	27.580	1.378	0.844	0.023	0.042	0.007
113	0.19576864	0.15554671	27.582	1.376	0.844	0.023	0.042	0.007
114	0.19564191	0.15556402	27.578	1.389	0.844	0.024	0.042	0.007
