ImageName, PSNR, SSIM, MSE
10_patch10_32_001,30.9427,0.7031,36.274170
10_patch10_32_002,32.7254,0.7760,26.654541
10_patch10_33_000,30.5013,0.7121,36.748535
10_patch10_33_001,30.5596,0.7006,39.539062
10_patch10_33_002,30.6140,0.7135,39.389404
10_patch10_33_003,31.7346,0.7712,30.926025
10_patch10_33_004,29.8216,0.6951,44.313721
10_patch10_33_005,31.8385,0.7927,29.707275
10_patch10_33_006,32.9509,0.8086,25.022949
10_patch10_34_000,29.9596,0.7331,39.383057
10_patch10_34_001,30.0030,0.6977,41.480225
10_patch10_34_002,30.1311,0.7240,39.529053
10_patch10_34_003,30.6492,0.7344,36.434326
10_patch10_34_004,29.8864,0.6970,41.436035
10_patch10_34_005,29.3234,0.6729,43.987305
10_patch10_34_006,30.6204,0.7458,32.431396
10_patch10_34_007,29.4585,0.6507,45.035400
10_patch10_34_008,30.6503,0.7280,34.169434
10_patch10_34_009,29.6691,0.6890,43.236084
10_patch10_34_010,30.8609,0.7535,32.769287
10_patch10_34_011,31.2543,0.7631,29.650635
10_patch10_34_012,30.7794,0.7842,28.967041
10_patch10_35_000,29.5070,0.7211,43.216797
10_patch10_35_001,30.7030,0.8005,29.743896
10_patch10_35_002,29.4090,0.6749,43.817383
10_patch10_35_003,29.5333,0.6995,41.526367
10_patch10_35_004,30.4371,0.7322,37.173584
10_patch10_35_005,29.9547,0.7603,36.770020
10_patch10_35_006,29.2446,0.6874,42.566650
10_patch10_35_007,30.1071,0.7595,34.816162
10_patch10_35_008,29.2530,0.6965,43.542236
10_patch10_35_009,30.1470,0.7414,33.735596
10_patch10_35_010,29.4046,0.6805,45.892090
10_patch10_35_011,30.7837,0.7421,32.788574
10_patch10_35_012,30.3673,0.6995,41.127197
10_patch10_35_013,31.7484,0.7749,28.662354
10_patch10_35_014,32.2410,0.7775,24.813477
10_patch10_36_000,29.6325,0.7139,43.141357
10_patch10_36_001,31.6466,0.8165,26.630859
10_patch10_36_002,29.7706,0.6988,42.427246
10_patch10_36_003,32.4005,0.8178,24.539062
10_patch10_36_004,29.7952,0.7310,41.351562
10_patch10_36_005,29.8626,0.7385,40.864746
10_patch10_36_006,30.1854,0.7432,36.494629
10_patch10_36_007,28.7774,0.7566,38.355225
10_patch10_36_008,29.1889,0.7562,38.438965
10_patch10_36_009,29.6839,0.6920,42.684814
10_patch10_36_010,29.9658,0.7601,36.351074
10_patch10_36_011,29.3273,0.7009,43.294678
10_patch10_36_012,30.4763,0.7712,33.208496
10_patch10_36_013,29.2703,0.7125,42.422363
10_patch10_36_014,30.4338,0.7780,31.969238
10_patch10_36_015,29.2326,0.7264,43.467773
10_patch10_36_016,30.7190,0.7812,31.228760
10_patch10_36_017,30.3291,0.7305,39.966797
10_patch10_36_018,31.8316,0.7928,27.587891
10_patch10_36_019,30.7086,0.7266,37.860840
10_patch10_36_020,32.0314,0.8045,27.482422
10_patch10_36_021,30.5285,0.7553,30.949219
10_patch10_36_022,31.9159,0.7832,27.579834
10_patch10_36_023,30.6791,0.7182,41.112549
10_patch10_36_024,33.0026,0.7864,25.570068
10_patch10_37_000,30.3478,0.7763,36.083252
10_patch10_37_001,28.9878,0.7482,44.654297
10_patch10_37_002,30.9785,0.8237,28.532715
10_patch10_37_003,29.3072,0.7343,44.458496
10_patch10_37_004,31.2869,0.8225,27.099854
10_patch10_37_005,29.1513,0.7332,41.558350
10_patch10_37_006,30.8440,0.8225,27.353271
10_patch10_37_007,28.9248,0.7334,43.229736
10_patch10_37_008,28.8111,0.7246,43.437500
10_patch10_37_009,28.3602,0.7537,42.917725
10_patch10_37_010,28.4390,0.7508,42.711670
10_patch10_37_011,29.2261,0.7572,39.396484
10_patch10_37_012,29.2061,0.6815,44.692627
10_patch10_37_013,28.8626,0.7231,38.806152
10_patch10_37_014,28.5672,0.6971,44.502441
10_patch10_37_015,29.8982,0.7541,33.317871
10_patch10_37_016,28.2384,0.6997,46.116455
10_patch10_37_017,30.0052,0.7847,33.010010
10_patch10_37_018,29.1434,0.7148,43.264648
10_patch10_37_019,30.7054,0.8020,31.276367
10_patch10_37_020,30.8319,0.7293,35.814209
10_patch10_37_021,32.1001,0.8098,25.406006
10_patch10_37_022,31.6480,0.8029,24.866699
10_patch10_37_023,30.4631,0.7791,32.761230
10_patch10_37_024,29.3461,0.7214,39.153320
10_patch10_37_025,29.6962,0.7708,32.299316
10_patch10_37_026,30.0485,0.7122,39.303467
10_patch10_37_027,31.6968,0.7848,26.431885
10_patch10_37_028,32.4275,0.8207,24.369385
10_patch10_38_000,30.2227,0.7361,40.587646
10_patch10_38_001,30.5120,0.7002,38.606689
10_patch10_38_002,29.3479,0.7548,41.810547
10_patch10_38_003,28.5790,0.7441,45.882568
10_patch10_38_004,30.6533,0.8251,29.880859
10_patch10_38_005,28.9200,0.7301,44.382812
10_patch10_38_006,30.7618,0.8192,29.875488
10_patch10_38_007,30.0704,0.6520,43.354492
10_patch10_38_008,28.9530,0.7545,42.189209
10_patch10_38_009,30.4825,0.8338,28.874756
10_patch10_38_010,30.4560,0.6928,40.481201
10_patch10_38_011,28.9112,0.7573,42.739990
10_patch10_38_012,28.5938,0.7481,44.511719
10_patch10_38_013,27.9554,0.7518,46.871826
10_patch10_38_014,28.6062,0.7590,42.382324
10_patch10_38_015,28.7768,0.7778,38.741455
10_patch10_38_016,28.7098,0.6839,44.956055
10_patch10_38_017,29.3973,0.7677,34.705322
10_patch10_38_018,29.5574,0.7236,40.564453
10_patch10_38_019,30.5243,0.7733,31.817627
10_patch10_38_020,28.8455,0.7250,43.700684
10_patch10_38_021,29.7130,0.7834,33.529785
10_patch10_38_022,29.1562,0.7137,43.032715
10_patch10_38_023,30.1341,0.7786,31.798584
10_patch10_38_024,30.1321,0.7310,39.077393
10_patch10_38_025,31.2459,0.8026,27.370850
10_patch10_38_026,30.8073,0.7348,35.870117
10_patch10_38_027,30.7889,0.7806,29.598877
10_patch10_38_028,31.3856,0.7478,33.325684
10_patch10_38_029,29.6012,0.7139,38.403076
10_patch10_38_030,29.4808,0.7593,35.594971
10_patch10_38_031,28.8891,0.7223,42.603027
10_patch10_38_032,29.9445,0.7843,32.299561
10_patch10_38_033,28.5700,0.6924,45.881592
10_patch10_38_034,30.5488,0.7914,30.493164
10_patch10_38_035,29.9629,0.7110,40.145752
10_patch10_38_036,32.1163,0.8153,26.256592
10_patch10_38_037,31.6065,0.7782,28.794434
10_patch10_39_000,29.6876,0.6871,41.686768
10_patch10_39_001,28.6095,0.7349,41.938477
10_patch10_39_002,28.8567,0.6640,44.045654
10_patch10_39_003,27.5395,0.7320,43.397705
10_patch10_39_004,29.4480,0.8138,28.400146
10_patch10_39_005,29.3048,0.6984,41.062500
10_patch10_39_006,27.3640,0.7520,46.123535
10_patch10_39_007,29.2308,0.8139,32.812500
10_patch10_39_008,29.8034,0.6892,41.598145
10_patch10_39_009,27.6238,0.7516,47.383057
10_patch10_39_010,29.0503,0.8247,33.855713
10_patch10_39_011,29.2393,0.6855,44.910156
10_patch10_39_012,27.0242,0.7399,48.519775
10_patch10_39_013,28.6120,0.8267,33.136963
10_patch10_39_014,29.4538,0.6925,43.989258
10_patch10_39_015,28.3093,0.7528,47.035645
10_patch10_39_016,28.6965,0.6846,47.786133
10_patch10_39_017,27.7758,0.7403,47.455322
10_patch10_39_018,27.3115,0.7442,47.323242
10_patch10_39_019,28.0597,0.7718,41.776123
10_patch10_39_020,28.4948,0.6640,48.960938
10_patch10_39_021,27.3155,0.7751,45.900391
10_patch10_39_022,28.2679,0.6930,46.704834
10_patch10_39_023,28.1469,0.7550,41.504639
10_patch10_39_024,28.0638,0.6877,48.804199
10_patch10_39_025,29.5441,0.7615,35.659668
10_patch10_39_026,27.6776,0.7064,48.561768
10_patch10_39_027,29.3492,0.7788,35.349365
10_patch10_39_028,28.9166,0.6556,47.198975
10_patch10_39_029,27.3968,0.7232,48.349609
10_patch10_39_030,29.3122,0.7981,30.746582
10_patch10_39_031,28.5079,0.7268,45.434326
10_patch10_39_032,29.9841,0.8054,29.513428
10_patch10_39_033,29.0149,0.7149,42.644531
10_patch10_39_034,30.7346,0.8056,28.156250
