Scan,Image_name, PSNR, SSIM, MSE
6,0,21.9198,0.3333,81.741699
6,1,26.5356,0.4990,65.447754
6,2,25.2628,0.4665,68.176025
6,3,23.7182,0.4143,75.096191
6,4,25.0453,0.4729,70.804443
6,5,23.4089,0.4489,78.799805
6,6,23.8289,0.4294,76.585693
6,7,23.8770,0.4329,72.432861
6,8,23.8929,0.4203,79.709229
6,9,22.7946,0.4207,81.371338
6,10,23.5176,0.4505,78.096436
6,11,22.8587,0.4053,78.301270
6,12,26.9169,0.4868,66.560303
6,13,21.1601,0.4574,83.758545
6,14,24.9549,0.4567,74.336914
6,15,22.9901,0.4255,81.268799
6,16,23.6981,0.3907,82.255615
6,17,21.2643,0.5324,84.949951
6,18,25.2845,0.4603,72.213379
6,19,22.8692,0.4364,81.045410
6,20,24.9665,0.4290,72.846436
6,21,22.1842,0.3660,76.428955
6,22,20.9089,0.4141,85.642822
6,23,21.1683,0.4397,86.504150
6,24,23.1963,0.4088,81.429688
6,25,26.5438,0.4913,64.112549
6,26,26.4838,0.4965,68.117920
6,27,20.6187,0.4913,89.097656
6,28,22.2735,0.4707,83.986572
6,29,25.2608,0.4706,70.393311
6,30,24.9146,0.4462,69.271729
6,31,22.8563,0.4277,77.297607
6,32,21.9283,0.3920,82.176025
6,33,26.6000,0.4936,63.010498
6,34,23.1754,0.4039,75.935791
6,35,20.0380,0.4822,88.339600
6,36,23.7117,0.4505,77.885742
6,37,26.1949,0.4869,67.105225
6,38,26.0525,0.4940,62.186768
6,39,23.3448,0.4298,71.270752
6,40,22.1356,0.3916,79.603027
6,41,21.9467,0.4036,81.406006
6,42,21.3052,0.3830,85.589600
6,43,22.5707,0.4570,79.254883
6,44,24.1464,0.4662,77.161621
6,45,21.2303,0.3561,83.150146
6,46,25.5187,0.4474,71.602539
6,47,24.0492,0.4289,74.955078
6,48,22.6834,0.4266,82.165283
6,49,26.2725,0.4839,62.276855
6,50,23.7901,0.4377,76.935791
6,51,23.9348,0.4385,73.971680
6,52,23.4071,0.4447,73.610107
6,53,24.5092,0.4710,75.417725
6,54,24.0706,0.4063,76.256592
6,55,23.9942,0.4109,74.464355
6,56,26.4871,0.4816,62.068848
6,57,21.7764,0.4388,84.335449
6,58,26.3644,0.4882,60.439941
6,59,24.7270,0.4501,68.842529
6,60,22.5580,0.4393,81.939697
6,61,25.1631,0.4531,67.298340
6,62,25.7465,0.4854,68.841797
6,63,20.1657,0.5091,90.347900
6,64,27.3492,0.5009,64.029785
6,65,22.8006,0.3561,79.145508
6,66,25.6424,0.4745,70.854004
6,67,23.4817,0.4907,80.180908
6,68,24.1118,0.4344,72.724854
6,69,21.0709,0.4101,83.769043
6,70,23.3188,0.3864,70.828857
6,71,24.5627,0.4666,74.349854
6,72,23.0021,0.3942,78.610840
