Scan,Image_name, PSNR, SSIM, MSE
10,0,11.1831,0.0501,106.534424
10,1,11.0605,0.0670,105.772949
10,2,10.6260,0.0332,107.069092
10,3,10.3701,0.0521,106.037354
10,4,11.0958,0.0889,106.634277
10,5,9.6397,0.0479,110.846680
10,6,10.2988,0.0317,108.053711
10,7,10.7088,0.0522,107.929932
10,8,11.3413,0.1350,103.029297
10,9,10.3408,0.0586,105.736572
10,10,10.8073,0.0725,105.946777
10,11,11.0979,0.0815,103.842041
10,12,11.1957,0.1323,103.142578
10,13,11.2413,0.0573,107.354248
10,14,11.1498,0.0549,105.526123
10,15,11.4893,0.0836,104.863770
10,16,11.6743,0.0768,103.156250
10,17,10.4145,0.0309,104.922607
10,18,10.2603,0.0549,106.290771
10,19,11.4219,0.0669,107.182861
10,20,11.1336,0.0417,106.893066
10,21,11.6141,0.0803,105.754150
10,22,10.7004,0.0346,107.037109
10,23,12.0199,0.0391,104.438232
10,24,11.5303,0.0687,105.413086
10,25,10.5410,0.0425,105.362061
10,26,11.5003,0.0529,104.201172
10,27,10.6526,0.0448,108.561768
10,28,10.2932,0.0279,108.175537
10,29,10.8682,0.1239,103.937256
10,30,10.4892,0.0506,106.688477
10,31,10.3688,0.0355,106.693848
10,32,10.2838,0.0321,102.991943
10,33,9.9217,0.0410,106.222900
10,34,10.6322,0.0930,104.248047
10,35,10.7089,0.0712,106.238281
10,36,10.6053,0.0595,105.539551
10,37,11.3139,0.0928,105.849121
10,38,11.0302,0.0365,104.678711
10,39,11.1578,0.0556,108.916992
10,40,11.9097,0.0635,106.410156
10,41,11.0770,0.0529,107.338379
10,42,11.1061,0.0336,106.825195
10,43,10.3210,0.0380,107.402100
10,44,11.2993,0.0510,107.517334
10,45,11.1131,0.0777,106.475586
10,46,10.6476,0.0757,103.976074
10,47,10.4300,0.0344,110.159668
10,48,10.8983,0.0417,107.522217
10,49,10.8484,0.0645,108.254150
10,50,11.3909,0.0638,107.249756
10,51,11.1703,0.0404,107.479248
10,52,10.8676,0.0744,105.674072
10,53,10.7094,0.0730,102.124756
10,54,12.2480,0.0593,103.246094
10,55,11.2241,0.0416,107.939697
10,56,11.2910,0.0875,104.992432
10,57,11.5631,0.0424,103.981201
10,58,10.2227,0.0373,107.890625
10,59,9.6704,0.0320,107.099854
