ImageName, PSNR, SSIM, MSE
15_patch15_01_001,29.7491,0.6206,44.830322
15_patch15_02_000,27.9932,0.5329,59.843994
15_patch15_02_001,28.4090,0.5394,55.919189
15_patch15_02_002,28.2853,0.5459,55.817383
15_patch15_02_003,28.9482,0.5605,52.032227
15_patch15_03_000,27.3774,0.5212,62.443115
15_patch15_03_001,27.6135,0.5155,60.087646
15_patch15_03_002,28.4080,0.5693,51.253418
15_patch15_03_003,27.7603,0.5379,56.842285
15_patch15_03_004,29.5841,0.6022,45.997070
15_patch15_03_005,28.9306,0.5690,55.055908
15_patch15_03_006,29.8131,0.5921,49.759277
15_patch15_04_000,26.5897,0.4976,65.097168
15_patch15_04_001,27.4596,0.5085,60.025391
15_patch15_04_002,28.8335,0.6031,47.249268
15_patch15_04_003,27.0480,0.4963,61.752930
15_patch15_04_004,27.1382,0.4964,60.429688
15_patch15_04_005,28.2094,0.5592,51.831055
15_patch15_04_006,28.8302,0.5551,53.875488
15_patch15_04_007,29.0943,0.5505,52.229004
15_patch15_05_000,26.6129,0.5232,60.087158
15_patch15_05_001,25.1934,0.4310,72.606934
15_patch15_05_002,26.9545,0.5113,63.297119
15_patch15_05_003,26.6737,0.5304,62.052734
15_patch15_05_004,26.6042,0.4937,67.308594
15_patch15_05_005,27.1642,0.5248,61.989990
15_patch15_05_006,28.6799,0.5904,48.809814
15_patch15_05_007,27.2499,0.5194,60.485840
15_patch15_05_008,27.6692,0.5239,61.400635
15_patch15_05_009,28.2754,0.5335,55.849854
15_patch15_06_000,28.2566,0.5244,58.957764
15_patch15_06_001,25.4513,0.4745,68.268555
15_patch15_06_002,23.7957,0.4032,77.024902
15_patch15_06_003,25.9685,0.4525,68.211914
15_patch15_06_004,25.7016,0.5184,63.639404
15_patch15_06_005,25.8227,0.4685,69.454346
15_patch15_06_006,26.3701,0.4660,65.306152
15_patch15_06_007,27.0984,0.5055,58.586670
15_patch15_06_008,27.9381,0.5302,53.600586
15_patch15_06_009,27.2088,0.4747,61.027588
15_patch15_06_010,28.1095,0.5379,53.804199
15_patch15_06_011,28.5420,0.5406,54.340576
15_patch15_07_000,27.2700,0.5176,60.921387
15_patch15_07_001,24.3727,0.4259,72.391602
15_patch15_07_002,22.7592,0.3940,79.791260
