Epoch	TrainLoss	ValidLoss	PSNR	PSNR_std	SSIM	SSIM_std	NRMSE	NRMSE_std
1	0.18776855	0.10270874	33.562	1.623	0.949	0.019	0.021	0.004
2	0.17971369	0.10494843	33.714	1.693	0.950	0.019	0.021	0.004
3	0.17882364	0.10382658	33.671	1.753	0.949	0.020	0.021	0.004
4	0.17862299	0.10547900	33.611	1.692	0.949	0.019	0.021	0.004
5	0.17825833	0.10385387	33.662	1.708	0.950	0.019	0.021	0.004
6	0.17800692	0.10194097	33.508	1.622	0.949	0.018	0.021	0.004
7	0.17793496	0.10144995	33.743	1.737	0.950	0.019	0.021	0.004
8	0.17781217	0.10171003	33.595	1.644	0.950	0.018	0.021	0.004
9	0.17761509	0.10094475	33.578	1.715	0.950	0.019	0.021	0.004
10	0.17752042	0.10164938	33.561	1.682	0.949	0.018	0.021	0.004
11	0.17741153	0.10496906	33.591	1.675	0.950	0.018	0.021	0.004
12	0.17748342	0.10227923	33.575	1.734	0.949	0.019	0.021	0.004
13	0.17741938	0.10089563	33.682	1.716	0.950	0.019	0.021	0.004
14	0.17726285	0.10249867	33.535	1.737	0.949	0.019	0.021	0.004
15	0.17712871	0.10740640	33.564	1.711	0.950	0.019	0.021	0.004
16	0.17711948	0.10162399	33.657	1.790	0.950	0.019	0.021	0.004
17	0.17719047	0.10261425	33.595	1.741	0.949	0.019	0.021	0.004
18	0.17693723	0.10327372	33.597	1.725	0.950	0.019	0.021	0.004
19	0.17713711	0.10285880	33.629	1.779	0.949	0.019	0.021	0.004
20	0.17709593	0.10213027	33.567	1.736	0.950	0.019	0.021	0.004
21	0.17702841	0.10315021	33.695	1.764	0.950	0.019	0.021	0.004
22	0.17698861	0.10184423	33.625	1.683	0.951	0.018	0.021	0.004
23	0.17676853	0.10236513	33.528	1.736	0.949	0.018	0.021	0.004
24	0.17686194	0.10133616	33.636	1.738	0.950	0.019	0.021	0.004
25	0.17687400	0.10253401	33.567	1.748	0.950	0.018	0.021	0.004
26	0.17673473	0.10002835	33.683	1.742	0.951	0.018	0.021	0.004
27	0.17682746	0.10207866	33.595	1.741	0.950	0.019	0.021	0.004
28	0.17679447	0.10215833	33.588	1.712	0.950	0.018	0.021	0.004
29	0.17681051	0.10202517	33.451	1.726	0.949	0.018	0.022	0.004
30	0.17673159	0.10291544	33.613	1.731	0.951	0.018	0.021	0.004
31	0.17649916	0.10251928	33.497	1.759	0.950	0.019	0.022	0.004
32	0.17674750	0.10216358	33.585	1.753	0.950	0.018	0.021	0.004
33	0.17662879	0.10388702	33.690	1.747	0.951	0.018	0.021	0.004
34	0.17662428	0.10292603	33.598	1.731	0.950	0.018	0.021	0.004
