ImageName, PSNR, SSIM, MSE
L506_frame003,38.2087,0.9447,7.996101
L506_frame004,38.1907,0.9473,7.707676
L506_frame005,38.3127,0.9486,7.444294
L506_frame006,38.3218,0.9476,7.628235
L506_frame007,38.6114,0.9504,7.101749
L506_frame008,38.7021,0.9514,6.941151
L506_frame009,38.3989,0.9506,7.330029
L506_frame010,38.2431,0.9510,7.537670
L506_frame011,38.1595,0.9511,7.504494
L506_frame012,37.5080,0.9509,7.666958
L506_frame013,37.7952,0.9517,7.408844
L506_frame014,37.0532,0.9500,7.699131
L506_frame015,36.5353,0.9496,7.642723
L506_frame016,36.1617,0.9515,7.351868
L506_frame017,35.9597,0.9506,7.519093
L506_frame018,35.7555,0.9476,7.826382
L506_frame019,35.3232,0.9476,8.006077
L506_frame020,35.7832,0.9485,7.766132
L506_frame021,35.5676,0.9449,8.254601
L506_frame022,35.1730,0.9454,8.284176
L506_frame023,35.1931,0.9440,8.475288
L506_frame024,36.2041,0.9438,8.229027
L506_frame025,36.5349,0.9449,8.236538
L506_frame026,35.7381,0.9432,8.383041
L506_frame027,35.3357,0.9399,8.760674
L506_frame028,34.6933,0.9387,8.704117
L506_frame029,34.8476,0.9377,9.146713
L506_frame030,33.6232,0.9330,10.035954
L506_frame031,35.1637,0.9356,9.648933
L506_frame032,35.2641,0.9357,9.287945
L506_frame033,35.7063,0.9333,9.565300
L506_frame034,35.2851,0.9332,9.680912
L506_frame035,35.1257,0.9312,9.954826
L506_frame036,35.3759,0.9264,10.165337
L506_frame037,35.2185,0.9254,10.230564
L506_frame038,35.7879,0.9221,10.461613
L506_frame039,35.8892,0.9161,11.185364
L506_frame040,36.3995,0.9160,11.150173
L506_frame041,36.4324,0.9109,11.702724
L506_frame042,36.3574,0.9051,12.323486
L506_frame043,36.5631,0.9063,12.109116
L506_frame044,36.6118,0.9046,12.410946
L506_frame045,36.2655,0.8979,13.272118
L506_frame046,36.4192,0.8986,13.063061
L506_frame047,36.1784,0.8941,13.527702
L506_frame048,35.8274,0.8888,14.388477
L506_frame049,35.9291,0.8896,14.169727
L506_frame050,35.9073,0.8865,14.556053
L506_frame051,35.6877,0.8816,15.193790
L506_frame052,35.8263,0.8833,14.927605
L506_frame053,35.8377,0.8821,15.061115
L506_frame054,35.6473,0.8772,15.646927
L506_frame055,35.7589,0.8797,15.062820
L506_frame056,35.6988,0.8795,15.083672
L506_frame057,35.5172,0.8745,15.762775
L506_frame058,35.6087,0.8802,14.955688
L506_frame059,35.6438,0.8784,15.173019
L506_frame060,35.4223,0.8729,16.051903
L506_frame061,35.3500,0.8714,16.235241
L506_frame062,35.3923,0.8729,16.167564
L506_frame063,35.1567,0.8683,17.111286
L506_frame064,35.2007,0.8715,16.633850
L506_frame065,35.2368,0.8728,16.413925
L506_frame066,35.0417,0.8664,17.361286
L506_frame067,35.2389,0.8704,16.888714
L506_frame068,35.1998,0.8701,16.848995
L506_frame069,34.8290,0.8633,18.136417
L506_frame070,35.0631,0.8671,17.543304
L506_frame071,34.9638,0.8671,17.710396
L506_frame072,34.8455,0.8629,18.425503
L506_frame073,34.8636,0.8622,18.358452
L506_frame074,34.9357,0.8642,18.045338
L506_frame075,34.8197,0.8622,18.225342
L506_frame076,35.0445,0.8659,17.577538
L506_frame077,35.1590,0.8694,17.138836
L506_frame078,34.9854,0.8667,17.439701
L506_frame079,35.2520,0.8700,16.815815
L506_frame080,35.3371,0.8726,16.371552
L506_frame081,35.0795,0.8662,17.289204
L506_frame082,35.2852,0.8718,16.398487
L506_frame083,35.3217,0.8734,16.360367
L506_frame084,35.1997,0.8700,16.668747
L506_frame085,35.3246,0.8738,16.180260
L506_frame086,35.3017,0.8730,16.377106
L506_frame087,35.0271,0.8659,17.613743
L506_frame088,35.2226,0.8697,16.955193
L506_frame089,35.2255,0.8697,16.916862
L506_frame090,35.0723,0.8655,17.554100
L506_frame091,35.3519,0.8738,16.332466
L506_frame092,35.3744,0.8775,15.558434
L506_frame093,35.4222,0.8784,15.195938
L506_frame094,35.6419,0.8842,14.456326
L506_frame095,35.6321,0.8856,14.242298
L506_frame096,35.6337,0.8833,14.558090
L506_frame097,35.7919,0.8886,13.681965
L506_frame098,35.8257,0.8886,13.693981
L506_frame099,35.7995,0.8835,14.467514
L506_frame100,36.1016,0.8889,13.742012
L506_frame101,35.9318,0.8871,14.104702
L506_frame102,35.7524,0.8836,14.673817
L506_frame103,36.0245,0.8912,13.664452
L506_frame104,36.1912,0.8965,12.676071
L506_frame105,36.0180,0.8932,13.226868
L506_frame106,36.1340,0.8964,12.841000
L506_frame107,36.2284,0.8995,12.394329
L506_frame108,35.8749,0.8992,12.626400
L506_frame109,36.1112,0.9018,12.547752
L506_frame110,36.2726,0.9014,12.574276
L506_frame111,36.1638,0.8979,13.016960
L506_frame112,36.5000,0.9052,11.747696
L506_frame113,36.4737,0.9098,11.227604
L506_frame114,36.4260,0.9063,11.869900
L506_frame115,36.5704,0.9117,11.002956
L506_frame116,36.5925,0.9137,10.662582
L506_frame117,36.4681,0.9132,10.515049
L506_frame118,36.5128,0.9151,10.199036
L506_frame119,36.5494,0.9141,10.366360
L506_frame120,36.6210,0.9099,10.976677
L506_frame121,36.8206,0.9132,10.631588
L506_frame122,36.8263,0.9120,10.789803
L506_frame123,36.7090,0.9061,11.675007
L506_frame124,36.7443,0.9051,11.894707
L506_frame125,36.7819,0.9072,11.523335
L506_frame126,36.6584,0.9053,11.502583
L506_frame127,36.8516,0.9112,10.468056
L506_frame128,36.8716,0.9156,9.811787
L506_frame129,36.7129,0.9125,10.045368
L506_frame130,36.6049,0.9150,9.501900
L506_frame131,36.5207,0.9182,9.059441
L506_frame132,36.5301,0.9132,9.674522
L506_frame133,36.7240,0.9160,9.438675
L506_frame134,36.6787,0.9144,9.503563
L506_frame135,36.5973,0.9069,10.495579
L506_frame136,36.6946,0.9083,10.303024
L506_frame137,36.8074,0.9073,10.564590
L506_frame138,36.6330,0.9064,10.767677
L506_frame139,36.6827,0.9098,10.368603
L506_frame140,36.8633,0.9093,10.454479
L506_frame141,36.5962,0.9075,10.789257
L506_frame142,36.9705,0.9140,9.996323
L506_frame143,37.0320,0.9155,9.836952
L506_frame144,36.9601,0.9128,10.221943
L506_frame145,37.2421,0.9179,9.665306
L506_frame146,37.1657,0.9185,9.746239
L506_frame147,37.0635,0.9179,9.727146
L506_frame148,37.0171,0.9215,9.413410
L506_frame149,37.1204,0.9230,8.995537
L506_frame150,36.8873,0.9215,9.015530
L506_frame151,37.4306,0.9264,8.219189
L506_frame152,37.6472,0.9265,8.168060
L506_frame153,37.5640,0.9239,8.504486
L506_frame154,37.5975,0.9249,8.298645
L506_frame155,37.4401,0.9242,8.407452
L506_frame156,37.2058,0.9188,9.174438
L506_frame157,37.4115,0.9224,8.732971
L506_frame158,37.4621,0.9222,8.777901
L506_frame159,37.3671,0.9176,9.431339
L506_frame160,37.5206,0.9218,8.813339
L506_frame161,37.7082,0.9239,8.518143
L506_frame162,37.6867,0.9238,8.481117
L506_frame163,37.8074,0.9246,8.355042
L506_frame164,37.6164,0.9250,8.381592
L506_frame165,37.5049,0.9243,8.363781
L506_frame166,37.5488,0.9275,7.842262
L506_frame167,37.7892,0.9291,7.774490
L506_frame168,37.4827,0.9252,8.098583
L506_frame169,37.7274,0.9294,7.677387
L506_frame170,37.7092,0.9316,7.203163
L506_frame171,37.2995,0.9299,7.402493
L506_frame172,37.0409,0.9326,6.935509
L506_frame173,36.9620,0.9318,7.069687
L506_frame174,37.0843,0.9280,7.478546
L506_frame175,37.1769,0.9320,6.950474
L506_frame176,37.2498,0.9303,7.328037
L506_frame177,37.6128,0.9282,7.735481
L506_frame178,38.0050,0.9329,6.968746
L506_frame179,37.5059,0.9307,7.684326
L506_frame180,37.3887,0.9285,7.854767
L506_frame181,37.5658,0.9301,7.584820
L506_frame182,37.7638,0.9292,7.616287
L506_frame183,37.6332,0.9244,8.092995
L506_frame184,37.8139,0.9272,7.657253
L506_frame185,37.7147,0.9277,7.518288
L506_frame186,37.5625,0.9258,7.710506
L506_frame187,37.5819,0.9303,7.091415
L506_frame188,37.6605,0.9299,7.317585
L506_frame189,37.7278,0.9262,7.868881
L506_frame190,38.0858,0.9283,7.735088
L506_frame191,38.3058,0.9286,7.637241
L506_frame192,38.1996,0.9278,7.704239
L506_frame193,37.8512,0.9304,7.445293
L506_frame194,37.8004,0.9312,7.568859
L506_frame195,37.9628,0.9273,7.987103
L506_frame196,38.2280,0.9297,7.759060
L506_frame197,38.2923,0.9322,7.425014
L506_frame198,38.2814,0.9320,7.379826
L506_frame199,38.3246,0.9354,6.902538
L506_frame200,38.1403,0.9356,6.822018
L506_frame201,37.7750,0.9346,6.998291
L506_frame202,38.1385,0.9360,6.923748
L506_frame203,38.1822,0.9373,6.843266
