ImageName, PSNR, SSIM, MSE
L192_frame003,36.0635,0.8976,14.067986
L192_frame004,36.2454,0.9019,13.348412
L192_frame005,36.3994,0.9049,12.928532
L192_frame006,36.2326,0.9015,13.491688
L192_frame007,36.3927,0.9071,12.842175
L192_frame008,36.4911,0.9096,12.581211
L192_frame009,36.4346,0.9100,12.447235
L192_frame010,36.7112,0.9161,11.525608
L192_frame011,36.7815,0.9147,11.825439
L192_frame012,36.5179,0.9094,12.655701
L192_frame013,36.6296,0.9110,12.495613
L192_frame014,36.6661,0.9105,12.603741
L192_frame015,36.5962,0.9075,12.909374
L192_frame016,36.9390,0.9144,11.816822
L192_frame017,36.9987,0.9163,11.519032
L192_frame018,36.9222,0.9166,11.439140
L192_frame019,37.1552,0.9214,10.760998
L192_frame020,37.1029,0.9196,11.097103
L192_frame021,37.0314,0.9169,11.422642
L192_frame022,37.2894,0.9209,10.750183
L192_frame023,37.3021,0.9222,10.478355
L192_frame024,37.1689,0.9196,10.823147
L192_frame025,37.2479,0.9207,10.513985
L192_frame026,37.3506,0.9231,10.107735
L192_frame027,37.2847,0.9219,10.260273
L192_frame028,37.5850,0.9256,9.568554
L192_frame029,37.5401,0.9255,9.694355
L192_frame030,37.4431,0.9254,9.661949
L192_frame031,37.7919,0.9314,8.852585
L192_frame032,37.9451,0.9326,8.648712
L192_frame033,37.9374,0.9316,8.747501
L192_frame034,38.1062,0.9355,8.277622
L192_frame035,38.2062,0.9348,8.375648
L192_frame036,38.1773,0.9331,8.662163
L192_frame037,38.3897,0.9370,8.183929
L192_frame038,38.4907,0.9388,7.990772
L192_frame039,38.3923,0.9382,8.036804
L192_frame040,38.5410,0.9410,7.771538
L192_frame041,38.5145,0.9415,7.842907
L192_frame042,38.3458,0.9395,8.146873
L192_frame043,38.5818,0.9428,7.726547
L192_frame044,38.6179,0.9454,7.355965
L192_frame045,38.5926,0.9450,7.362282
L192_frame046,38.8003,0.9480,6.953304
L192_frame047,38.7702,0.9487,6.816505
L192_frame048,38.8280,0.9460,7.241558
L192_frame049,39.1035,0.9488,6.806942
L192_frame050,39.1840,0.9495,6.656082
L192_frame051,39.0275,0.9470,6.939243
L192_frame052,39.0440,0.9496,6.598804
L192_frame053,38.9781,0.9486,6.733406
L192_frame054,38.6927,0.9461,7.018726
L192_frame055,38.7904,0.9472,6.888882
L192_frame056,38.7357,0.9456,7.112949
L192_frame057,38.4415,0.9423,7.593769
L192_frame058,38.4533,0.9439,7.387794
L192_frame059,38.3508,0.9425,7.509083
L192_frame060,38.0823,0.9384,7.987270
L192_frame061,38.2862,0.9391,7.928757
L192_frame062,38.2699,0.9380,8.019691
