Scan,Image_name, PSNR, SSIM, MSE
L286,0,39.5117,0.9352,7.102432
L286,1,40.5512,0.9461,5.671726
L286,2,39.2956,0.9279,7.605572
L286,3,40.3534,0.9444,5.950363
L286,4,40.5285,0.9426,5.719429
L286,5,40.1151,0.9419,6.277725
L286,6,39.9927,0.9389,6.485065
L286,7,39.2183,0.9310,7.687130
L286,8,38.7461,0.9318,8.286343
L286,9,40.9322,0.9514,5.214211
L286,10,40.3578,0.9504,5.924740
L286,11,40.7179,0.9562,5.403320
L286,12,39.4250,0.9297,7.380013
L286,13,40.9766,0.9507,5.166691
L286,14,40.5394,0.9464,5.708790
L286,15,39.5069,0.9321,7.223869
L286,16,40.4799,0.9456,5.801758
L286,17,39.4945,0.9315,7.247543
L286,18,41.6976,0.9521,4.376209
L286,19,41.8870,0.9535,4.206074
L286,20,39.5858,0.9315,7.108292
L286,21,41.1163,0.9515,5.013065
L286,22,41.2540,0.9609,4.764301
L286,23,40.6672,0.9470,5.551029
L286,24,38.8932,0.9216,8.367554
L286,25,39.9804,0.9367,6.512363
L286,26,41.1519,0.9507,4.978771
L286,27,41.0419,0.9480,5.101913
L286,28,40.8066,0.9491,5.357357
L286,29,40.6286,0.9477,5.586178
L286,30,39.2889,0.9275,7.623230
L286,31,38.7612,0.9273,8.433960
L286,32,41.0450,0.9523,5.082630
L286,33,40.9085,0.9497,5.258495
L286,34,39.5868,0.9357,7.020618
L286,35,40.8455,0.9512,5.312115
L286,36,38.7165,0.9184,8.693512
L286,37,40.0594,0.9406,6.371262
L286,38,40.2002,0.9430,6.175323
L286,39,41.0929,0.9464,5.039230
L286,40,40.6965,0.9479,5.511627
L286,41,40.7561,0.9503,5.426403
L286,42,40.5162,0.9427,5.731731
L286,43,40.9869,0.9517,5.165051
L286,44,39.6265,0.9385,6.891163
L286,45,40.6678,0.9470,5.523933
L286,46,40.7836,0.9487,5.404575
L286,47,40.0745,0.9446,6.326408
L286,48,39.1346,0.9341,7.647240
L286,49,40.9676,0.9504,5.180386
L286,50,41.1347,0.9590,4.928223
L286,51,41.0604,0.9586,4.979580
L286,52,40.2642,0.9482,6.057140
L286,53,41.0118,0.9503,5.126736
L286,54,40.4501,0.9453,5.849659
L286,55,40.2099,0.9423,6.166458
L286,56,39.2837,0.9303,7.602085
L286,57,40.7506,0.9472,5.446995
L286,58,39.6810,0.9329,6.955101
L286,59,40.5516,0.9453,5.694717
L286,60,39.9982,0.9373,6.445557
L286,61,40.3998,0.9450,5.880775
L286,62,41.0973,0.9496,5.040958
L286,63,40.5823,0.9458,5.657333
