Scan,Image_name, PSNR, SSIM, MSE
L286,0,36.5235,0.9196,12.290363
L286,1,38.3884,0.9402,8.702332
L286,2,36.5648,0.9380,11.706017
L286,3,36.3024,0.9174,12.848236
L286,4,36.0479,0.9269,13.218700
L286,5,36.3448,0.9343,12.265507
L286,6,38.3673,0.9392,8.745457
L286,7,36.9964,0.9397,11.101032
L286,8,36.6481,0.9359,11.775188
L286,9,36.4345,0.9348,12.192520
L286,10,36.2636,0.9200,12.945026
L286,11,36.8096,0.9229,11.665173
L286,12,36.4839,0.9200,12.297855
L286,13,36.6295,0.9339,11.696838
L286,14,36.5654,0.9357,11.910942
L286,15,36.6693,0.9374,11.712608
L286,16,37.1265,0.9283,10.889824
L286,17,37.4275,0.9300,10.390835
L286,18,36.7370,0.9382,11.574184
L286,19,36.4242,0.9221,12.530453
L286,20,34.9040,0.9169,16.028980
L286,21,35.7669,0.9240,13.641460
L286,22,36.5131,0.9375,11.841602
L286,23,37.0428,0.9403,10.728794
L286,24,37.3640,0.9301,10.360706
L286,25,36.3999,0.9322,12.579193
L286,26,36.7070,0.9390,11.565102
L286,27,37.3845,0.9300,10.499043
L286,28,34.9994,0.9101,16.123207
L286,29,37.3552,0.9308,10.296131
L286,30,36.5838,0.9338,12.043674
L286,31,34.9287,0.9320,15.383553
L286,32,34.7773,0.9064,16.767773
L286,33,36.5782,0.9374,11.765221
L286,34,36.6361,0.9351,11.883667
L286,35,35.0687,0.9417,14.835808
L286,36,35.7414,0.9107,14.258316
L286,37,35.8028,0.9186,13.653996
L286,38,36.8400,0.9369,11.522583
L286,39,36.6009,0.9367,12.158546
L286,40,36.4001,0.9309,12.541458
L286,41,36.5703,0.9380,11.734566
L286,42,37.2044,0.9298,10.670792
L286,43,36.5047,0.9318,12.019905
L286,44,36.8913,0.9245,11.470921
L286,45,36.6036,0.9211,12.187641
L286,46,36.5462,0.9350,12.186531
L286,47,36.4359,0.9362,12.081272
L286,48,36.6148,0.9350,12.001759
L286,49,36.8630,0.9225,11.723827
L286,50,36.1600,0.9286,13.009380
L286,51,37.0223,0.9393,11.038639
L286,52,37.1068,0.9386,10.621021
L286,53,37.6447,0.9320,9.942165
L286,54,36.5679,0.9198,12.357693
L286,55,36.6563,0.9357,11.875568
L286,56,36.5184,0.9380,12.014133
L286,57,36.9624,0.9380,11.052971
L286,58,34.7245,0.9242,15.945484
L286,59,35.7921,0.9534,12.921619
