Scan,Image_name, PSNR, SSIM, MSE
L506,0,35.8630,0.8808,15.382275
L506,1,41.1146,0.9550,4.736702
L506,2,36.6074,0.8932,13.102116
L506,3,34.0458,0.8341,22.508076
L506,4,38.8477,0.9399,7.441139
L506,5,41.8656,0.9597,4.037376
L506,6,39.7984,0.9443,6.242142
L506,7,39.9149,0.9447,6.065678
L506,8,33.4168,0.8215,25.240086
L506,9,38.9866,0.9423,7.323708
L506,10,38.5442,0.9374,8.077423
L506,11,36.2726,0.8913,13.952000
L506,12,39.0082,0.9410,7.329975
L506,13,39.5020,0.9468,6.439968
L506,14,38.1502,0.9303,8.824623
L506,15,38.5816,0.9364,8.150833
L506,16,34.0539,0.8347,22.599052
L506,17,39.0507,0.9421,7.245529
L506,18,39.1077,0.9400,7.308895
L506,19,35.0647,0.8669,18.182575
L506,20,38.6997,0.9468,7.318203
L506,21,38.4820,0.9355,8.245728
L506,22,38.4059,0.9424,7.877327
L506,23,41.7174,0.9577,4.193069
L506,24,38.3795,0.9365,8.465855
L506,25,38.8153,0.9396,7.739990
L506,26,37.8739,0.9164,9.724682
L506,27,38.6388,0.9379,8.031837
L506,28,37.4034,0.9089,10.661316
L506,29,38.8011,0.9396,7.621586
L506,30,42.0123,0.9604,3.940834
L506,31,34.5027,0.8443,20.613197
L506,32,42.1305,0.9611,3.847557
L506,33,40.0109,0.9493,5.833839
L506,34,39.6254,0.9441,6.455509
L506,35,39.5427,0.9458,6.527298
L506,36,37.7071,0.9170,9.856750
L506,37,42.1716,0.9621,3.787594
L506,38,34.8478,0.8531,19.332016
L506,39,37.0382,0.9046,11.650528
L506,40,36.6991,0.8979,12.577827
L506,41,38.8544,0.9407,7.693775
L506,42,38.5093,0.9373,8.309975
L506,43,40.3058,0.9515,5.496887
L506,44,39.2627,0.9435,6.941021
L506,45,33.4995,0.8229,24.878189
L506,46,39.3841,0.9419,6.625092
L506,47,39.3510,0.9411,6.588585
L506,48,38.8124,0.9343,7.416698
L506,49,37.9886,0.9296,9.129704
L506,50,37.7435,0.9136,9.960224
L506,51,35.2581,0.8703,17.530781
L506,52,39.7497,0.9456,6.328667
L506,53,39.3086,0.9459,6.635460
L506,54,40.8868,0.9542,4.962620
L506,55,39.7653,0.9448,6.236607
L506,56,37.4550,0.9105,10.717804
L506,57,40.1102,0.9480,5.775196
L506,58,37.8756,0.9179,9.530006
L506,59,38.4795,0.9360,8.144508
L506,60,42.0989,0.9603,3.877583
L506,61,37.2944,0.9069,11.093670
L506,62,38.8752,0.9399,7.666000
L506,63,36.4844,0.8891,13.491486
L506,64,39.5149,0.9427,6.698734
L506,65,34.4294,0.8434,20.893337
L506,66,34.7649,0.8504,19.683163
L506,67,36.8087,0.9097,12.052528
L506,68,34.5287,0.8437,20.551655
L506,69,38.9417,0.9411,7.504826
L506,70,38.6659,0.9451,7.460876
L506,71,40.1744,0.9513,5.633202
L506,72,34.0911,0.8348,22.277229
L506,73,37.4631,0.9086,10.661827
L506,74,40.2494,0.9514,5.547749
L506,75,38.3595,0.9395,8.316093
L506,76,39.0173,0.9435,7.125305
L506,77,38.6135,0.9356,8.109264
L506,78,38.9492,0.9399,7.359547
L506,79,41.4458,0.9553,4.420055
L506,80,38.2783,0.9322,8.511856
L506,81,38.3498,0.9344,8.548252
L506,82,36.3431,0.8888,13.844913
L506,83,38.2313,0.9364,8.680450
L506,84,39.1323,0.9440,7.016705
L506,85,37.4694,0.9105,10.720303
L506,86,33.9382,0.8326,23.091637
L506,87,33.7916,0.8263,23.721615
L506,88,38.5503,0.9371,8.238354
L506,89,33.7817,0.8288,23.662678
L506,90,39.3946,0.9436,6.856937
L506,91,40.2794,0.9498,5.573853
L506,92,40.3957,0.9524,5.386372
L506,93,37.6977,0.9147,10.057392
L506,94,39.1751,0.9435,6.909588
L506,95,38.5926,0.9415,7.935516
L506,96,39.3194,0.9455,6.646652
L506,97,38.7054,0.9404,7.914066
L506,98,33.7458,0.8263,23.839611
L506,99,35.9439,0.8851,14.975666
L506,100,36.0237,0.8924,14.595341
L506,101,34.0450,0.8334,22.520504
L506,102,35.6678,0.8807,15.914032
L506,103,36.7840,0.8990,12.549988
L506,104,39.3444,0.9433,6.936008
L506,105,38.7436,0.9377,7.903664
L506,106,38.8958,0.9399,7.511944
L506,107,38.3561,0.9351,8.462231
L506,108,34.7552,0.8500,19.708221
L506,109,38.1813,0.9186,9.077709
L506,110,36.9896,0.9033,11.922382
L506,111,38.2280,0.9387,8.459419
L506,112,38.5435,0.9360,8.228168
L506,113,37.3134,0.9196,10.689018
L506,114,34.0106,0.8355,22.537445
L506,115,36.1471,0.8910,14.266010
L506,116,41.8416,0.9579,4.125328
L506,117,42.0110,0.9596,3.970318
L506,118,38.5568,0.9420,7.672119
L506,119,38.4716,0.9396,8.094006
L506,120,41.3040,0.9533,4.655724
L506,121,39.0089,0.9425,7.429199
L506,122,38.4032,0.9291,8.119488
L506,123,38.0091,0.9155,9.559673
L506,124,39.2537,0.9420,7.022461
L506,125,38.8584,0.9406,7.725929
L506,126,38.4110,0.9384,8.165333
L506,127,37.1852,0.9062,11.235344
L506,128,39.2282,0.9433,6.930195
L506,129,35.1527,0.8631,18.046478
L506,130,40.1599,0.9486,5.678551
L506,131,41.6959,0.9570,4.206993
L506,132,38.3074,0.9396,8.280186
L506,133,39.4307,0.9442,6.724850
L506,134,38.6083,0.9362,7.980259
L506,135,39.6176,0.9457,6.450703
L506,136,38.2211,0.9330,8.641006
L506,137,39.9609,0.9469,5.964634
L506,138,41.7060,0.9567,4.249538
L506,139,41.9660,0.9593,4.000324
L506,140,35.4131,0.8702,17.096348
L506,141,38.7716,0.9404,7.764908
L506,142,38.5368,0.9341,8.166138
L506,143,36.9832,0.8975,12.121185
L506,144,38.5491,0.9395,8.202850
L506,145,41.7217,0.9575,4.153648
L506,146,38.1953,0.9244,8.773384
L506,147,34.6450,0.8500,20.073925
L506,148,42.2230,0.9619,3.739265
L506,149,33.4598,0.8196,25.184597
L506,150,40.8527,0.9538,5.025970
L506,151,36.7721,0.8928,12.664398
L506,152,39.6214,0.9453,6.479538
L506,153,38.8170,0.9379,7.626282
L506,154,38.2026,0.9367,8.668034
L506,155,38.8724,0.9392,7.622688
L506,156,36.8510,0.9010,12.164207
L506,157,38.8089,0.9399,7.762390
L506,158,40.1842,0.9517,5.593773
L506,159,39.2327,0.9441,6.877220
L506,160,38.1221,0.9166,9.232864
L506,161,38.5206,0.9382,8.246078
L506,162,38.3036,0.9363,8.400875
L506,163,39.0869,0.9433,7.111950
L506,164,38.3498,0.9388,8.164593
L506,165,39.5253,0.9451,6.684212
L506,166,37.9948,0.9147,9.485023
L506,167,38.6911,0.9440,7.379505
L506,168,33.8004,0.8309,23.561291
L506,169,40.9812,0.9528,4.907234
L506,170,39.6616,0.9451,6.451347
L506,171,36.0062,0.8880,14.741058
L506,172,39.3514,0.9460,6.652454
L506,173,34.0561,0.8341,22.519279
L506,174,38.4824,0.9358,8.300468
L506,175,38.9353,0.9414,7.315830
L506,176,34.0169,0.8326,22.742222
L506,177,39.5559,0.9415,6.554165
L506,178,37.8515,0.9297,9.265720
L506,179,42.2047,0.9623,3.747913
L506,180,39.3058,0.9446,6.811230
L506,181,35.3818,0.8755,17.001297
L506,182,33.7017,0.8260,23.996223
L506,183,39.4871,0.9437,6.632053
L506,184,39.2725,0.9429,7.030151
L506,185,38.7030,0.9362,7.966713
L506,186,35.0050,0.8568,18.841553
L506,187,34.2085,0.8385,21.748619
L506,188,42.0289,0.9607,3.926197
L506,189,40.5478,0.9531,5.311043
L506,190,39.0187,0.9412,7.485027
L506,191,36.2830,0.8870,14.086483
L506,192,38.0040,0.9280,9.195728
L506,193,37.4943,0.9319,9.690842
L506,194,38.6584,0.9387,8.023056
L506,195,38.6681,0.9377,7.939903
L506,196,34.4733,0.8470,20.674019
L506,197,41.1873,0.9520,4.779171
L506,198,41.8100,0.9580,4.156403
L506,199,38.0727,0.9317,8.927692
L506,200,35.6726,0.8790,16.015011
L506,201,38.7407,0.9399,7.882256
L506,202,38.1102,0.9302,8.971485
L506,203,38.6883,0.9377,8.058929
L506,204,36.6987,0.8972,12.818489
L506,205,38.7753,0.9380,7.690163
L506,206,39.4045,0.9426,6.744320
L506,207,39.3524,0.9461,6.610691
L506,208,38.3158,0.9276,8.330936
L506,209,38.2707,0.9337,8.545349
L506,210,34.1413,0.8363,22.173454
L506,211,37.8476,0.9269,9.332092
L506,212,41.7948,0.9580,4.128407
L506,213,42.1247,0.9607,3.850941
L506,214,36.4871,0.9031,12.967728
L506,215,37.8436,0.9284,9.267765
L506,216,38.5490,0.9353,8.175705
L506,217,42.1700,0.9612,3.788094
L506,218,34.1085,0.8368,22.192268
L506,219,42.0345,0.9607,3.921906
L506,220,35.1554,0.8675,17.931561
L506,221,39.1980,0.9416,6.996151
L506,222,39.5268,0.9459,6.457092
L506,223,39.1065,0.9402,7.223194
L506,224,39.5336,0.9448,6.345242
L506,225,37.8567,0.9190,9.601631
L506,226,38.8491,0.9402,7.547886
L506,227,37.2649,0.9071,11.220184
L506,228,37.4876,0.9099,10.600155
L506,229,37.7320,0.9145,10.030117
L506,230,34.0221,0.8313,22.807129
L506,231,37.3934,0.9102,10.757832
L506,232,38.9593,0.9424,7.498627
L506,233,39.1462,0.9443,6.947369
L506,234,39.4846,0.9416,6.662731
L506,235,38.0709,0.9297,9.067684
L506,236,38.5929,0.9407,7.901760
L506,237,36.3446,0.8930,13.792667
L506,238,39.5880,0.9465,6.545135
L506,239,39.0883,0.9387,7.238110
L506,240,35.5968,0.8799,16.133373
L506,241,38.9272,0.9413,7.393959
L506,242,39.0219,0.9404,7.343182
L506,243,38.7467,0.9388,7.693439
L506,244,41.2787,0.9554,4.596016
L506,245,39.2840,0.9402,6.699276
L506,246,41.0931,0.9532,4.786991
L506,247,39.6099,0.9450,6.498421
L506,248,40.7183,0.9470,5.315987
L506,249,38.7314,0.9373,7.994614
L506,250,38.2677,0.9264,8.456341
L506,251,39.5853,0.9441,6.254669
L506,252,39.6650,0.9446,6.370605
L506,253,33.8311,0.8304,23.483761
L506,254,38.0667,0.9189,9.323460
L506,255,38.1530,0.9317,8.690147
