Scan,Image_name, PSNR, SSIM, MSE
L506,0,38.4240,0.9056,9.290581
L506,1,38.4435,0.9165,9.282894
L506,2,36.6791,0.8879,13.534473
L506,3,38.6210,0.9154,8.880871
L506,4,32.5385,0.7784,29.782558
L506,5,31.0126,0.7336,36.986668
L506,6,32.2278,0.7732,31.192360
L506,7,31.7897,0.7529,32.774113
L506,8,34.3964,0.8225,21.548500
L506,9,36.2220,0.8676,15.021526
L506,10,32.8346,0.7908,28.572842
L506,11,32.0673,0.7638,31.768265
L506,12,37.0978,0.9014,12.420712
L506,13,37.7510,0.9061,10.768307
L506,14,36.0446,0.8611,15.600426
L506,15,38.2089,0.9094,9.739655
L506,16,37.3678,0.9048,11.671535
L506,17,36.7811,0.8847,13.167454
L506,18,36.8056,0.8854,13.114040
L506,19,35.4966,0.8479,17.313400
L506,20,40.4573,0.9326,5.848701
L506,21,37.4827,0.9046,11.353470
L506,22,38.7551,0.9158,8.613262
L506,23,31.3854,0.7403,35.070721
L506,24,31.3541,0.7438,34.912872
L506,25,36.9873,0.8934,12.640152
L506,26,38.2975,0.9152,9.582378
L506,27,33.9441,0.8172,23.522221
L506,28,35.8989,0.8531,15.973022
L506,29,34.6712,0.8388,20.408207
L506,30,37.6344,0.8991,11.032261
L506,31,32.8543,0.7884,28.337978
L506,32,34.8500,0.8389,19.651535
L506,33,38.5053,0.9082,9.120049
L506,34,37.4870,0.9009,11.461243
L506,35,37.0527,0.8935,12.542191
L506,36,31.9336,0.7609,32.330547
L506,37,33.4478,0.8087,25.484535
L506,38,38.9869,0.9198,8.180637
L506,39,30.8570,0.7293,37.550251
L506,40,32.0458,0.7648,31.715069
L506,41,31.8942,0.7564,32.342754
L506,42,35.3142,0.8510,18.042553
L506,43,38.5293,0.9115,9.079399
L506,44,36.8284,0.8904,13.074177
L506,45,40.4001,0.9285,5.928238
L506,46,38.2846,0.9152,9.612045
L506,47,36.5566,0.8805,13.813026
L506,48,36.8861,0.8869,12.968380
L506,49,30.7839,0.7290,37.886414
L506,50,35.5916,0.8599,16.981205
L506,51,37.1459,0.8973,12.154110
L506,52,36.8315,0.8927,13.100826
L506,53,30.9126,0.7275,37.216938
L506,54,40.5166,0.9305,5.771282
L506,55,35.3366,0.8463,17.964645
L506,56,37.5405,0.9052,11.214787
L506,57,37.0180,0.8916,12.547340
L506,58,37.4592,0.9014,11.478035
L506,59,37.2748,0.8951,11.948189
L506,60,33.7798,0.8108,24.025581
L506,61,37.7428,0.9025,10.775253
L506,62,40.5876,0.9342,5.679665
L506,63,38.2911,0.9120,9.566345
L506,64,31.6482,0.7475,33.517597
