Scan,Image_name, PSNR, SSIM, MSE
L109,0,36.3578,0.8765,14.396454
L109,1,37.7420,0.9202,10.473652
L109,2,34.0530,0.8176,22.647263
L109,3,36.6089,0.8908,13.080570
L109,4,35.9815,0.8711,15.419689
L109,5,34.5749,0.8321,20.690174
L109,6,34.0195,0.8116,22.616791
L109,7,38.0659,0.9330,9.596848
L109,8,35.0464,0.8467,18.847294
L109,9,34.9027,0.8494,18.987782
L109,10,34.3837,0.8231,21.419720
L109,11,33.8638,0.8102,23.009392
L109,12,35.3027,0.8589,17.622570
L109,13,35.4339,0.8556,17.520752
L109,14,34.3694,0.8429,20.544506
L109,15,35.4097,0.8605,17.199760
L109,16,34.6055,0.8413,20.055077
L109,17,36.6556,0.8906,12.919033
L109,18,37.1868,0.9097,11.601715
L109,19,35.6764,0.8634,16.517784
L109,20,36.8954,0.8952,12.830433
L109,21,34.1618,0.8209,22.243988
L109,22,37.4572,0.9167,11.065498
L109,23,36.6881,0.8916,12.832874
L109,24,36.1010,0.8896,14.054909
L109,25,34.6784,0.8304,20.137321
L109,26,35.1279,0.8582,17.524414
L109,27,38.0366,0.9203,9.994694
L109,28,36.7197,0.8914,12.827343
L109,29,35.1695,0.8510,18.292137
L109,30,33.7283,0.8056,24.114574
L109,31,36.6468,0.8859,13.416241
L109,32,34.8743,0.8457,19.296288
L109,33,34.2679,0.8253,21.700821
L109,34,36.3877,0.8815,14.119301
L109,35,35.7277,0.8639,16.338688
L109,36,33.8839,0.8113,23.022156
L109,37,38.3006,0.9312,9.221966
L109,38,36.3871,0.8890,13.605740
L109,39,36.6401,0.8896,12.945751
L109,40,34.2820,0.8289,21.766033
L109,41,37.7540,0.9255,10.101601
L109,42,36.4244,0.8905,13.649944
L109,43,36.8768,0.8912,12.672821
L109,44,35.1153,0.8524,18.256245
L109,45,34.9249,0.8498,18.924534
L109,46,36.1740,0.8878,14.246922
L109,47,34.5943,0.8401,20.320541
L109,48,38.1386,0.9295,9.551422
L109,49,35.1048,0.8522,18.259945
L109,50,36.4628,0.8917,13.495121
L109,51,33.9507,0.8087,23.099548
L109,52,36.1955,0.8859,14.309021
L109,53,35.9555,0.8718,15.326912
L109,54,36.1809,0.8884,14.248188
