ImageName, PSNR, SSIM, MSE
L096_frame003,35.1826,0.8828,15.183887
L096_frame004,35.3632,0.8840,15.325035
L096_frame005,35.1866,0.8807,15.901154
L096_frame006,34.6118,0.8683,17.649448
L096_frame007,34.9922,0.8768,16.273540
L096_frame008,34.8892,0.8758,16.222084
L096_frame009,34.7217,0.8723,16.919510
L096_frame010,34.9707,0.8765,16.102520
L096_frame011,34.9376,0.8737,16.465813
L096_frame012,34.9481,0.8777,15.501148
L096_frame013,34.8141,0.9060,10.701225
L096_frame014,34.1100,0.9212,8.409386
L096_frame015,33.7182,0.9166,8.913132
L096_frame016,33.6517,0.9149,8.976261
L096_frame017,33.5998,0.9101,9.544731
L096_frame018,33.4586,0.9022,10.441238
L096_frame019,33.6495,0.9034,10.443527
L096_frame020,33.7332,0.8980,11.161819
L096_frame021,33.8239,0.8905,11.755993
L096_frame022,34.0065,0.8900,11.641186
L096_frame023,34.2241,0.8886,12.055611
L096_frame024,34.3047,0.8821,12.810844
L096_frame025,34.4751,0.8856,12.464291
L096_frame026,34.7238,0.8855,12.926483
L096_frame027,34.5808,0.8822,13.457996
L096_frame028,34.7656,0.8875,12.926632
L096_frame029,34.8900,0.8861,12.939552
L096_frame030,34.7315,0.8805,13.602428
L096_frame031,34.8660,0.8862,12.600636
L096_frame032,34.7847,0.8882,12.700520
L096_frame033,34.5182,0.8838,12.912895
L096_frame034,34.4509,0.8924,11.962883
L096_frame035,34.2430,0.8939,11.698883
L096_frame036,33.9110,0.8909,11.849926
L096_frame037,33.6369,0.8956,11.437283
L096_frame038,33.2987,0.8990,10.994080
L096_frame039,33.0867,0.8945,11.326588
L096_frame040,33.3459,0.9035,10.447044
L096_frame041,33.4513,0.9080,9.923199
L096_frame042,33.4729,0.9036,10.592529
L096_frame043,33.6458,0.9097,9.747623
L096_frame044,33.8493,0.9057,10.434700
L096_frame045,34.0107,0.8928,12.341553
L096_frame046,34.2676,0.9038,10.712090
L096_frame047,34.7637,0.9046,10.673653
L096_frame048,34.8903,0.8975,11.612400
L096_frame049,35.2081,0.9008,11.114250
L096_frame050,35.2565,0.9029,10.960762
L096_frame051,35.2634,0.8950,11.870125
L096_frame052,35.5045,0.8972,11.575073
L096_frame053,35.4844,0.8984,11.319412
L096_frame054,35.2882,0.8930,12.075394
L096_frame055,35.5390,0.8940,11.824806
L096_frame056,35.6025,0.8964,11.495689
L096_frame057,35.3898,0.8925,11.912575
L096_frame058,35.6366,0.9022,10.574318
L096_frame059,35.8208,0.8963,11.550991
L096_frame060,35.6558,0.8876,12.837158
L096_frame061,35.8453,0.8916,12.343796
L096_frame062,35.8712,0.8891,12.730507
L096_frame063,35.5465,0.8753,14.786518
L096_frame064,35.8101,0.8820,13.766861
L096_frame065,35.7823,0.8765,14.826439
L096_frame066,35.4555,0.8675,16.334801
L096_frame067,35.5445,0.8685,16.306553
L096_frame068,35.5454,0.8687,16.326523
L096_frame069,35.2905,0.8627,17.536892
L096_frame070,35.4907,0.8684,16.755585
L096_frame071,35.4962,0.8676,16.720325
L096_frame072,35.2466,0.8606,17.957977
L096_frame073,35.5414,0.8681,16.894737
L096_frame074,35.5277,0.8686,16.668026
L096_frame075,35.2771,0.8625,17.514324
L096_frame076,35.4758,0.8675,16.878056
L096_frame077,35.5085,0.8686,16.674622
L096_frame078,35.1900,0.8609,17.893444
L096_frame079,35.5776,0.8704,16.147316
L096_frame080,35.5527,0.8719,15.891476
L096_frame081,35.2164,0.8635,17.095665
L096_frame082,35.6001,0.8723,15.764309
L096_frame083,35.5631,0.8715,15.838421
L096_frame084,35.2093,0.8605,17.378281
L096_frame085,35.3815,0.8644,16.919380
L096_frame086,35.3787,0.8646,16.873154
L096_frame087,35.1578,0.8580,17.768459
L096_frame088,35.3359,0.8623,17.081116
L096_frame089,35.2732,0.8609,17.258224
L096_frame090,34.9104,0.8507,18.783504
L096_frame091,35.1042,0.8558,18.067513
L096_frame092,35.0001,0.8537,18.492085
L096_frame093,34.7127,0.8462,19.514748
L096_frame094,34.8267,0.8500,18.965446
L096_frame095,34.7404,0.8494,19.288361
L096_frame096,34.5568,0.8442,19.981937
L096_frame097,34.7644,0.8486,19.115322
L096_frame098,34.6534,0.8459,19.875553
L096_frame099,34.3743,0.8382,21.423187
L096_frame100,34.6754,0.8464,20.038414
L096_frame101,34.6781,0.8468,19.990589
L096_frame102,34.3871,0.8402,20.951118
L096_frame103,34.6143,0.8472,19.955883
L096_frame104,34.4143,0.8428,20.675350
L096_frame105,34.1523,0.8345,22.164967
L096_frame106,34.4523,0.8431,20.864746
L096_frame107,34.5053,0.8453,20.540611
L096_frame108,34.2634,0.8392,21.414112
L096_frame109,34.5230,0.8469,20.141529
L096_frame110,34.5870,0.8484,19.776230
L096_frame111,34.3707,0.8442,20.409863
L096_frame112,34.4632,0.8464,20.070984
L096_frame113,34.4229,0.8445,20.570755
L096_frame114,34.0847,0.8328,22.617195
L096_frame115,34.3132,0.8401,21.304760
L096_frame116,34.3447,0.8402,21.242661
L096_frame117,33.9990,0.8305,22.847752
L096_frame118,34.2149,0.8368,21.845234
L096_frame119,34.1458,0.8346,22.068386
L096_frame120,33.9523,0.8288,23.229210
L096_frame121,34.2816,0.8371,21.814342
L096_frame122,34.2992,0.8386,21.488945
L096_frame123,34.0764,0.8317,22.459927
L096_frame124,34.3892,0.8391,21.067146
L096_frame125,34.2807,0.8364,21.592815
L096_frame126,34.0355,0.8299,22.652664
L096_frame127,34.3335,0.8383,21.652161
L096_frame128,34.4028,0.8402,21.628262
L096_frame129,34.1354,0.8332,22.865028
L096_frame130,34.3155,0.8378,22.008739
L096_frame131,34.2853,0.8378,22.098610
L096_frame132,34.0921,0.8333,22.936783
L096_frame133,34.4102,0.8420,21.492142
L096_frame134,34.3232,0.8390,21.757095
L096_frame135,34.0388,0.8307,23.281902
L096_frame136,34.1001,0.8336,22.970070
L096_frame137,34.0986,0.8347,22.919914
L096_frame138,33.7804,0.8257,24.380798
L096_frame139,34.0464,0.8333,23.143776
L096_frame140,33.9494,0.8321,23.504692
L096_frame141,33.6216,0.8221,25.060207
L096_frame142,33.8642,0.8289,23.937817
L096_frame143,33.7792,0.8264,24.271263
L096_frame144,33.4497,0.8187,25.681953
L096_frame145,33.6114,0.8221,25.212566
L096_frame146,33.5193,0.8193,25.849537
L096_frame147,33.1021,0.8080,27.922340
L096_frame148,33.2454,0.8113,27.159912
L096_frame149,33.0675,0.8051,28.112553
L096_frame150,32.7933,0.7978,29.633205
L096_frame151,32.9368,0.8023,28.953762
L096_frame152,32.8421,0.8002,29.466515
L096_frame153,32.6594,0.7943,30.181194
L096_frame154,32.9059,0.8009,28.871838
L096_frame155,32.8897,0.7997,29.001461
L096_frame156,32.6833,0.7920,30.083977
L096_frame157,32.8362,0.7955,29.499321
L096_frame158,32.8046,0.7949,29.541748
L096_frame159,32.6116,0.7880,30.400578
L096_frame160,32.9706,0.7974,28.717113
L096_frame161,32.8832,0.7948,29.031006
L096_frame162,32.3898,0.7816,31.750130
L096_frame163,32.5561,0.7878,30.818382
L096_frame164,32.4554,0.7853,31.338299
L096_frame165,32.2758,0.7808,32.282913
L096_frame166,32.3602,0.7846,31.800137
L096_frame167,32.3051,0.7845,31.801598
L096_frame168,31.9794,0.7747,33.759415
L096_frame169,32.2385,0.7853,32.107864
L096_frame170,32.1951,0.7841,32.241905
L096_frame171,31.9367,0.7768,33.771446
L096_frame172,32.1924,0.7845,32.145435
L096_frame173,32.2862,0.7867,31.627949
L096_frame174,32.1880,0.7828,31.981316
L096_frame175,32.3561,0.7901,31.036160
L096_frame176,32.3049,0.7872,31.356754
L096_frame177,32.0886,0.7787,32.560261
L096_frame178,32.4558,0.7909,30.320477
L096_frame179,32.4929,0.7908,30.298367
L096_frame180,32.1503,0.7799,32.001667
L096_frame181,32.3397,0.7852,30.691170
L096_frame182,32.4122,0.7898,29.849953
L096_frame183,32.1062,0.7796,31.916405
L096_frame184,32.2680,0.7830,31.081280
L096_frame185,32.5870,0.7941,28.404114
L096_frame186,32.5990,0.7971,27.060268
L096_frame187,32.6744,0.7984,27.142963
L096_frame188,32.3414,0.7854,30.080772
L096_frame189,31.9769,0.7720,32.486404
L096_frame190,32.0620,0.7733,32.323479
L096_frame191,31.8955,0.7698,33.138393
L096_frame192,31.5254,0.7560,35.400131
L096_frame193,31.6638,0.7607,34.730389
L096_frame194,31.6070,0.7583,35.180416
L096_frame195,31.1061,0.7431,38.020050
L096_frame196,31.1380,0.7446,37.871716
L096_frame197,30.9835,0.7403,39.052887
L096_frame198,30.6879,0.7316,40.347290
