Epoch	TrainLoss	ValidLoss	PSNR	PSNR_std	SSIM	SSIM_std	NRMSE	NRMSE_std
1	0.61282583	0.20400228	24.634	1.552	0.732	0.032	0.060	0.010
2	0.52297577	0.16646437	27.726	1.626	0.848	0.022	0.042	0.007
3	0.52139825	0.16667722	29.106	1.560	0.899	0.011	0.036	0.006
4	0.51161406	0.10543430	30.271	1.863	0.915	0.013	0.031	0.007
5	0.50733407	0.12139955	30.037	1.922	0.932	0.010	0.032	0.007
6	0.50718219	0.08503036	30.894	1.918	0.942	0.012	0.029	0.007
7	0.50619398	0.09737690	31.345	1.758	0.942	0.012	0.028	0.006
8	0.50862893	0.24028252	31.120	1.957	0.913	0.024	0.029	0.006
9	0.51874202	0.12851491	30.369	1.917	0.928	0.009	0.031	0.007
10	0.50707343	0.08721590	31.361	1.823	0.943	0.012	0.028	0.006
11	0.50338537	0.08444627	30.594	2.153	0.941	0.013	0.030	0.008
12	0.50314439	0.08943407	31.583	1.900	0.956	0.009	0.027	0.007
13	0.50457094	0.07743243	32.077	1.984	0.953	0.019	0.026	0.007
14	0.50331602	0.08160322	31.584	2.377	0.959	0.010	0.027	0.008
15	0.50239258	0.08472336	30.869	1.606	0.937	0.017	0.029	0.006
16	0.50181127	0.07595326	31.796	1.900	0.959	0.014	0.026	0.007
17	0.50164374	0.06770001	32.114	2.142	0.954	0.016	0.026	0.007
18	0.50198718	0.08106724	30.596	1.711	0.936	0.032	0.030	0.007
19	0.50240872	0.08034788	31.843	2.073	0.958	0.017	0.026	0.007
20	0.50267366	0.08886513	29.489	2.526	0.902	0.067	0.035	0.009
21	0.50259155	0.08331039	31.381	1.952	0.949	0.022	0.028	0.007
22	0.50144390	0.06199727	31.912	2.242	0.951	0.024	0.026	0.007
23	0.50313742	0.07688693	31.476	1.999	0.956	0.016	0.027	0.007
24	0.50165033	0.06666165	31.965	2.265	0.960	0.018	0.026	0.007
25	0.50098692	0.07357940	31.597	2.206	0.954	0.023	0.027	0.008
26	0.50113870	0.08887808	30.596	2.326	0.947	0.029	0.031	0.008
27	0.50162622	0.07385845	31.484	2.235	0.956	0.023	0.028	0.007
28	0.50080490	0.08893465	31.087	2.005	0.958	0.018	0.029	0.007
29	0.50246441	0.08341785	31.081	2.026	0.951	0.013	0.029	0.008
30	0.50025915	0.08642530	31.339	2.222	0.952	0.024	0.028	0.007
31	0.50129082	0.07701927	31.037	2.107	0.955	0.024	0.029	0.007
32	0.50066534	0.06351186	32.442	2.213	0.971	0.011	0.025	0.007
33	0.50303159	0.15988903	30.876	1.955	0.944	0.016	0.029	0.007
34	0.50329108	0.08551272	30.603	2.395	0.942	0.035	0.031	0.009
35	0.50067991	0.08058630	31.175	2.098	0.956	0.019	0.028	0.007
36	0.50081303	0.07475140	31.815	2.110	0.959	0.017	0.026	0.007
37	0.49985878	0.07942770	30.768	2.066	0.954	0.023	0.030	0.008
38	0.50032595	0.07784864	30.644	1.727	0.947	0.015	0.030	0.006
39	0.50044355	0.07030851	30.913	2.239	0.952	0.024	0.029	0.008
40	0.50035817	0.07697401	30.722	2.290	0.955	0.024	0.030	0.008
41	0.49981232	0.06994783	31.504	1.986	0.960	0.013	0.027	0.007
42	0.49930270	0.07681933	31.306	2.492	0.959	0.022	0.028	0.008
43	0.50108975	0.06854027	30.636	2.158	0.951	0.024	0.030	0.008
44	0.49959201	0.07722471	32.393	2.209	0.970	0.012	0.025	0.007
45	0.49981989	0.07359607	31.660	2.455	0.961	0.017	0.027	0.008
46	0.49980456	0.07070599	31.648	2.386	0.961	0.019	0.027	0.008
47	0.50027759	0.06767188	31.676	2.397	0.960	0.021	0.027	0.008
48	0.50008411	0.06850717	31.995	2.190	0.968	0.013	0.026	0.007
49	0.50039401	0.08253142	30.908	2.305	0.957	0.020	0.030	0.008
50	0.49985649	0.07548502	30.008	2.345	0.943	0.031	0.033	0.009
51	0.49935788	0.06803808	32.313	2.420	0.968	0.015	0.025	0.008
52	0.49958126	0.06682512	31.460	2.397	0.959	0.019	0.028	0.008
53	0.50003917	0.06817261	31.929	2.283	0.967	0.015	0.026	0.008
54	0.49845461	0.07202929	31.223	2.514	0.958	0.022	0.029	0.009
55	0.49913522	0.07355903	31.135	2.622	0.957	0.023	0.029	0.009
56	0.49960720	0.06544630	31.169	2.069	0.963	0.015	0.028	0.007
57	0.49889734	0.07444258	30.990	2.875	0.948	0.029	0.030	0.010
58	0.49913834	0.07726491	31.272	2.764	0.954	0.025	0.029	0.009
59	0.50038466	0.07274557	31.095	2.365	0.959	0.020	0.029	0.008
60	0.49904273	0.06994527	31.302	2.531	0.960	0.020	0.028	0.008
61	0.49833184	0.07255099	30.192	2.930	0.941	0.033	0.033	0.011
62	0.50044575	0.07282135	31.432	2.648	0.960	0.023	0.028	0.009
63	0.49897453	0.06398070	31.593	2.599	0.963	0.020	0.028	0.008
64	0.50053698	0.07064329	31.342	2.340	0.962	0.019	0.028	0.008
