ImageName, PSNR, SSIM, MSE
phantomFrame000,29.8609,0.8632,12.970154
phantomFrame001,30.4416,0.8469,18.894043
phantomFrame002,29.9718,0.8360,20.683472
phantomFrame003,30.0645,0.8364,21.706970
phantomFrame004,29.3354,0.8246,22.949951
phantomFrame005,29.2919,0.8301,22.978271
phantomFrame006,28.9677,0.8198,23.284302
phantomFrame007,28.7153,0.8136,24.095154
phantomFrame008,28.7441,0.8125,24.657471
phantomFrame009,28.4593,0.8058,25.355225
phantomFrame010,28.0676,0.8017,26.215576
phantomFrame011,28.1347,0.8023,26.582520
phantomFrame012,28.0313,0.7999,27.082642
phantomFrame013,27.9645,0.7929,27.326355
phantomFrame014,27.7055,0.7780,28.679016
phantomFrame015,27.4591,0.7727,29.102173
phantomFrame016,27.2446,0.7649,29.807434
phantomFrame017,27.6438,0.7762,29.991699
phantomFrame018,27.1548,0.7584,31.855103
phantomFrame019,27.4695,0.7699,31.182617
phantomFrame020,27.0506,0.7551,32.128967
phantomFrame021,27.4483,0.7580,32.236816
phantomFrame022,26.5994,0.7401,33.652283
phantomFrame023,27.0013,0.7465,34.563965
phantomFrame024,26.6763,0.7318,35.139648
phantomFrame025,26.6045,0.7338,36.470276
phantomFrame026,26.0291,0.7208,38.103882
phantomFrame027,26.3541,0.7371,37.435791
phantomFrame028,25.9506,0.7279,38.751404
phantomFrame029,26.0626,0.7266,38.765015
phantomFrame030,25.6992,0.7107,41.331543
phantomFrame031,26.0248,0.7298,39.344666
phantomFrame032,25.7318,0.7147,40.613770
phantomFrame033,25.6796,0.7191,40.559204
phantomFrame034,25.4820,0.7108,40.697266
phantomFrame035,25.2654,0.7074,41.796753
phantomFrame036,25.4407,0.7003,41.989685
phantomFrame037,25.4560,0.7049,42.241821
phantomFrame038,25.6009,0.7082,41.070862
phantomFrame039,25.7314,0.7104,40.804993
phantomFrame040,25.8739,0.7114,41.116638
phantomFrame041,25.7526,0.7054,41.127808
phantomFrame042,25.7184,0.6983,42.293579
phantomFrame043,25.7478,0.7025,41.240601
phantomFrame044,25.8933,0.6894,40.849426
phantomFrame045,26.2657,0.6957,40.674927
phantomFrame046,26.5779,0.6908,40.172302
phantomFrame047,26.3396,0.6820,41.269775
phantomFrame048,26.4628,0.6906,40.184082
phantomFrame049,26.4236,0.6847,40.782410
phantomFrame050,26.5200,0.6902,39.575623
phantomFrame051,26.5997,0.6926,39.893555
phantomFrame052,26.7310,0.6885,39.282227
phantomFrame053,26.7712,0.6948,38.824280
phantomFrame054,26.8616,0.6928,38.615234
phantomFrame055,26.9219,0.6935,39.235596
phantomFrame056,26.8953,0.6981,38.875244
phantomFrame057,26.8916,0.6971,38.629028
phantomFrame058,26.8528,0.6984,38.981689
phantomFrame059,26.8482,0.6924,38.920288
phantomFrame060,27.0048,0.6969,37.926086
phantomFrame061,26.9463,0.6946,37.904419
phantomFrame062,27.4165,0.7056,37.690857
phantomFrame063,26.8424,0.6863,39.098877
phantomFrame064,27.1672,0.6975,36.858459
phantomFrame065,26.8109,0.6811,38.545654
phantomFrame066,27.4370,0.7003,36.682434
phantomFrame067,27.4795,0.7038,37.601318
phantomFrame068,27.1759,0.6988,36.218140
phantomFrame069,27.5702,0.7049,36.355713
phantomFrame070,27.1434,0.7043,36.871155
phantomFrame071,27.2693,0.7090,36.004578
phantomFrame072,27.3483,0.7120,35.384277
phantomFrame073,27.3306,0.7136,35.449585
phantomFrame074,27.3222,0.7204,34.512878
phantomFrame075,27.5630,0.7158,34.716431
phantomFrame076,27.6721,0.7213,34.328186
phantomFrame077,27.4724,0.7237,34.136230
phantomFrame078,27.6645,0.7421,33.083374
phantomFrame079,27.7346,0.7485,33.161499
phantomFrame080,27.6930,0.7520,32.777405
phantomFrame081,27.4589,0.7335,32.638062
phantomFrame082,27.6535,0.7444,32.180176
phantomFrame083,27.7517,0.7546,30.324280
phantomFrame084,27.6837,0.7501,31.625854
phantomFrame085,27.9105,0.7651,29.798035
phantomFrame086,28.0253,0.7693,30.771301
phantomFrame087,27.8095,0.7730,29.616455
phantomFrame088,27.9673,0.7798,29.508240
phantomFrame089,27.7893,0.7687,29.570312
phantomFrame090,28.1157,0.7803,28.614258
phantomFrame091,28.1500,0.7873,27.856323
phantomFrame092,28.2950,0.7850,28.007690
phantomFrame093,28.7653,0.8052,26.172241
phantomFrame094,28.8123,0.8138,25.008606
phantomFrame095,28.8094,0.8147,24.425842
phantomFrame096,28.8826,0.8192,23.713684
phantomFrame097,29.3083,0.8163,23.330750
phantomFrame098,29.2522,0.8216,23.851868
phantomFrame099,29.4676,0.8352,22.411926
phantomFrame100,29.5347,0.8326,22.519897
phantomFrame101,30.2029,0.8429,21.978943
