ImageName, PSNR, SSIM, MSE
phantomFrame000,32.3128,0.7953,14.051575
phantomFrame001,35.0964,0.9300,7.298767
phantomFrame002,34.5718,0.9164,8.974670
phantomFrame003,35.4090,0.9270,8.339417
phantomFrame004,35.3661,0.9282,7.634583
phantomFrame005,35.3998,0.9375,8.004395
phantomFrame006,35.2599,0.9394,8.227783
phantomFrame007,34.2886,0.9230,9.097351
phantomFrame008,34.5774,0.9414,8.367554
phantomFrame009,33.7350,0.9277,8.906616
phantomFrame010,34.1240,0.9244,9.126892
phantomFrame011,33.9549,0.9334,8.985413
phantomFrame012,33.7450,0.9273,9.827271
phantomFrame013,33.8119,0.9340,10.032471
phantomFrame014,33.6178,0.9300,9.924744
phantomFrame015,32.9609,0.9254,10.775208
phantomFrame016,33.9781,0.9333,10.330139
phantomFrame017,32.3568,0.9113,11.073181
phantomFrame018,33.6768,0.9339,11.277283
phantomFrame019,33.5524,0.9306,11.353699
phantomFrame020,32.7404,0.9147,11.925232
phantomFrame021,32.8947,0.9212,12.045776
phantomFrame022,32.9600,0.9220,13.109802
phantomFrame023,32.2253,0.9087,13.985352
phantomFrame024,32.5684,0.9216,13.838623
phantomFrame025,31.5061,0.8991,15.562988
phantomFrame026,29.1044,0.9006,15.120911
phantomFrame027,28.3386,0.9034,15.687805
phantomFrame028,28.1098,0.8821,18.297607
phantomFrame029,27.8189,0.9040,16.149109
phantomFrame030,27.5350,0.8883,17.330200
phantomFrame031,27.7556,0.9011,16.929321
phantomFrame032,27.5562,0.9033,17.942749
phantomFrame033,27.1072,0.8835,19.062500
phantomFrame034,27.1417,0.9052,17.640991
phantomFrame035,27.0426,0.8949,18.866882
phantomFrame036,27.1845,0.9011,19.407104
phantomFrame037,27.0241,0.8954,19.320251
phantomFrame038,27.3738,0.8913,19.259521
phantomFrame039,27.5189,0.9032,18.866028
phantomFrame040,27.6438,0.8996,18.507812
phantomFrame041,27.6337,0.9033,18.360229
phantomFrame042,27.8014,0.9136,17.410645
phantomFrame043,27.5511,0.8917,18.201355
phantomFrame044,28.3155,0.9159,16.304810
phantomFrame045,29.2730,0.9036,16.904602
phantomFrame046,32.2677,0.9129,16.309998
phantomFrame047,32.0857,0.9229,15.773438
phantomFrame048,32.0488,0.9248,15.694336
phantomFrame049,32.1821,0.9223,15.515442
phantomFrame050,32.2594,0.9260,14.555054
phantomFrame051,31.8412,0.9295,14.430603
phantomFrame052,32.3538,0.9348,14.130676
phantomFrame053,32.0743,0.9281,15.332031
phantomFrame054,31.6648,0.9147,14.570374
phantomFrame055,32.2348,0.9302,14.196777
phantomFrame056,32.6225,0.9277,13.737061
phantomFrame057,32.4490,0.9165,14.122925
phantomFrame058,32.8809,0.9380,13.730042
phantomFrame059,32.8379,0.9326,13.704102
phantomFrame060,32.4517,0.9386,12.990479
phantomFrame061,32.7021,0.9381,13.403870
phantomFrame062,33.2845,0.9372,12.570435
phantomFrame063,32.3568,0.9277,13.604309
phantomFrame064,32.9701,0.9378,12.830261
phantomFrame065,33.7960,0.9520,11.710266
phantomFrame066,33.6689,0.9457,11.781616
phantomFrame067,35.3900,0.9597,9.921692
phantomFrame068,34.8848,0.9530,11.928040
phantomFrame069,35.0692,0.9615,10.659424
phantomFrame070,35.0625,0.9550,10.518677
phantomFrame071,34.3097,0.9523,11.323914
phantomFrame072,35.5223,0.9617,10.076355
phantomFrame073,35.0738,0.9564,10.294250
phantomFrame074,35.6074,0.9547,10.503967
phantomFrame075,35.3822,0.9562,10.236694
phantomFrame076,35.1251,0.9532,10.322449
phantomFrame077,35.6830,0.9500,10.335876
phantomFrame078,35.3486,0.9550,10.086121
phantomFrame079,35.2421,0.9601,9.588623
phantomFrame080,35.2555,0.9551,9.965942
phantomFrame081,35.7744,0.9540,9.204346
phantomFrame082,36.6191,0.9599,8.600952
phantomFrame083,36.5457,0.9574,8.639160
phantomFrame084,36.8766,0.9692,8.004517
phantomFrame085,36.7478,0.9562,8.156311
phantomFrame086,36.0331,0.9555,8.068787
phantomFrame087,35.9079,0.9486,8.699097
phantomFrame088,35.3957,0.9491,8.568848
phantomFrame089,36.0651,0.9516,7.653137
phantomFrame090,34.9778,0.9456,8.777405
phantomFrame091,36.1544,0.9455,7.841248
phantomFrame092,35.0608,0.9413,8.120605
phantomFrame093,35.5898,0.9349,8.842041
phantomFrame094,35.3122,0.9439,8.433472
phantomFrame095,36.0219,0.9412,7.548218
phantomFrame096,36.2108,0.9425,7.559753
phantomFrame097,35.9170,0.9357,7.805054
phantomFrame098,36.0206,0.9424,7.771729
phantomFrame099,35.4064,0.9336,7.647644
phantomFrame100,35.6986,0.9279,8.101257
phantomFrame101,35.2893,0.9271,7.940552
phantomFrame102,34.9539,0.9432,6.579041
