Scan,Image_name, PSNR, SSIM, MSE
0,phantom,34.6194,0.7865,13.477539
0,phantom,33.8509,0.7772,16.400513
0,phantom,33.2045,0.7654,16.669006
0,phantom,32.4663,0.7553,18.851135
0,phantom,32.6756,0.7679,18.164429
0,phantom,32.1082,0.7376,22.752625
0,phantom,32.7589,0.7643,20.746704
0,phantom,31.9578,0.7448,23.569580
0,phantom,32.3546,0.7756,19.404602
0,phantom,32.0979,0.7524,23.332642
0,phantom,31.4900,0.7346,24.655823
0,phantom,31.5350,0.7616,25.180054
0,phantom,31.0929,0.7306,26.995544
0,phantom,30.8531,0.7195,29.646667
0,phantom,31.5320,0.7577,26.398987
0,phantom,30.4300,0.7118,32.973999
0,phantom,30.4894,0.7293,31.454529
0,phantom,31.6776,0.7614,25.392639
0,phantom,30.3994,0.7248,32.249329
0,phantom,30.7452,0.7417,29.381653
0,phantom,30.2599,0.7218,33.935913
0,phantom,30.5566,0.7360,32.219238
0,phantom,30.6540,0.7255,30.747498
0,phantom,29.9635,0.7028,36.385803
0,phantom,30.1127,0.7037,36.547119
0,phantom,29.3351,0.6960,36.298645
0,phantom,29.7080,0.7274,33.266296
0,phantom,29.0854,0.7222,37.110474
0,phantom,29.2112,0.7179,37.772583
0,phantom,29.1560,0.7066,37.426819
0,phantom,29.6860,0.7394,35.306519
0,phantom,29.8750,0.7429,34.923157
0,phantom,29.3370,0.7508,37.030334
0,phantom,29.6320,0.7470,35.571167
0,phantom,29.2687,0.7376,35.340271
0,phantom,29.1942,0.7467,35.968445
0,phantom,29.3154,0.7562,35.564148
0,phantom,29.0275,0.7375,37.938110
0,phantom,29.3070,0.7376,37.492737
0,phantom,29.2305,0.7227,39.207764
0,phantom,29.3640,0.7211,38.810608
0,phantom,29.3593,0.7629,36.940491
0,phantom,29.3935,0.7358,37.691650
0,phantom,29.0844,0.7117,41.598877
0,phantom,29.5519,0.7390,38.186890
0,phantom,29.4064,0.7258,42.314880
0,phantom,29.7156,0.7251,41.004028
0,phantom,29.8675,0.7308,39.741821
0,phantom,29.6119,0.7269,43.697876
0,phantom,29.4750,0.7348,40.895325
0,phantom,29.9667,0.7489,38.587891
0,phantom,30.0249,0.7314,35.496399
0,phantom,29.9889,0.7347,37.331543
0,phantom,29.9051,0.7250,39.632935
0,phantom,30.2690,0.7693,35.181763
0,phantom,29.7853,0.7346,42.195496
0,phantom,29.4800,0.7076,41.982727
0,phantom,29.9681,0.7316,39.816467
0,phantom,29.8152,0.7392,39.461121
0,phantom,30.0694,0.7390,37.103027
0,phantom,29.8190,0.7183,41.511292
0,phantom,30.0284,0.7406,38.570618
0,phantom,29.8580,0.7244,40.061157
0,phantom,30.2161,0.7118,38.493347
0,phantom,29.5724,0.7078,42.394104
0,phantom,30.0669,0.7275,39.671814
0,phantom,30.5156,0.7478,34.745483
0,phantom,30.3868,0.7570,36.093323
0,phantom,29.7693,0.7306,38.181458
0,phantom,30.5182,0.7294,34.805481
0,phantom,30.2866,0.7347,36.966492
0,phantom,30.5537,0.7344,33.413513
0,phantom,30.1839,0.7317,36.282166
0,phantom,30.3787,0.7180,35.376282
0,phantom,30.5993,0.7190,35.283936
0,phantom,30.9087,0.7412,34.669861
0,phantom,30.5576,0.7281,33.736267
0,phantom,30.6572,0.7202,35.424805
0,phantom,30.6605,0.7352,32.976135
0,phantom,30.3804,0.7139,34.008728
0,phantom,30.2587,0.6878,37.639771
0,phantom,30.4844,0.7037,33.474487
0,phantom,30.7992,0.7318,30.158142
0,phantom,31.0284,0.7202,30.939148
0,phantom,29.9591,0.6798,38.375061
0,phantom,30.7235,0.7333,28.265015
0,phantom,31.1256,0.7239,30.288757
0,phantom,31.0194,0.7136,29.546387
0,phantom,31.2084,0.7526,27.683777
0,phantom,30.6352,0.7049,29.911377
0,phantom,30.9639,0.7095,30.723083
0,phantom,31.5335,0.7488,26.242981
0,phantom,31.4337,0.7554,23.710815
0,phantom,31.3118,0.7186,28.634888
0,phantom,31.2948,0.7303,27.871033
0,phantom,31.7457,0.7556,21.424377
0,phantom,31.5801,0.7303,25.723877
0,phantom,33.1927,0.7878,18.612976
0,phantom,32.7413,0.7611,21.480469
0,phantom,32.8959,0.7698,18.411804
0,phantom,33.3135,0.7570,19.398376
0,phantom,33.7606,0.7910,16.229126
