Scan,Image_name, PSNR, SSIM, MSE
0,phantom,34.2814,0.8005,15.465759
0,phantom,34.4319,0.7910,16.545837
0,phantom,34.1090,0.8015,18.635742
0,phantom,33.7480,0.7813,20.058350
0,phantom,33.4912,0.7796,19.901489
0,phantom,34.0747,0.7942,17.508179
0,phantom,34.2521,0.8060,16.661560
0,phantom,33.7164,0.7941,18.337158
0,phantom,33.6524,0.7668,19.637573
0,phantom,33.7130,0.7756,18.311584
0,phantom,33.0099,0.7587,22.421631
0,phantom,33.0016,0.7581,23.421265
0,phantom,32.6563,0.7451,26.429749
0,phantom,32.5608,0.7567,26.886108
0,phantom,33.0471,0.7778,23.831787
0,phantom,32.2661,0.7418,27.777039
0,phantom,31.8431,0.7512,32.099487
0,phantom,32.4271,0.7613,27.638000
0,phantom,32.2777,0.7492,29.689697
0,phantom,32.4103,0.7605,28.563416
0,phantom,32.0474,0.7458,30.004761
0,phantom,32.0661,0.7488,30.189636
0,phantom,31.8665,0.7410,29.183533
0,phantom,31.7380,0.7388,30.657532
0,phantom,31.5329,0.7537,31.155640
0,phantom,31.6019,0.7550,30.106750
0,phantom,31.5483,0.7436,30.134766
0,phantom,31.4097,0.7543,29.985596
0,phantom,30.6932,0.7304,32.962891
0,phantom,31.6989,0.7581,30.629761
0,phantom,30.9507,0.7410,32.053955
0,phantom,30.5943,0.7313,35.161316
0,phantom,31.3441,0.7566,31.966980
0,phantom,30.8014,0.7495,34.099487
0,phantom,31.3044,0.7545,32.123840
0,phantom,31.5567,0.7708,28.546814
0,phantom,30.7510,0.7473,35.183594
0,phantom,30.6517,0.7227,36.479248
0,phantom,31.2020,0.7552,31.991821
0,phantom,30.5550,0.7360,34.754883
0,phantom,30.7729,0.7326,35.862000
0,phantom,31.0594,0.7476,33.621216
0,phantom,30.8420,0.7484,35.658081
0,phantom,30.6651,0.7354,35.917236
0,phantom,30.9328,0.7406,35.440735
0,phantom,31.3589,0.7418,35.507629
0,phantom,31.3720,0.7355,35.786438
0,phantom,31.0239,0.7309,39.132874
0,phantom,31.6623,0.7536,36.673706
0,phantom,31.9543,0.7585,31.399658
0,phantom,31.9913,0.7527,31.203735
0,phantom,31.9632,0.7623,32.611511
0,phantom,32.0995,0.7507,32.239441
0,phantom,31.7783,0.7439,34.223328
0,phantom,32.3302,0.7585,29.961670
0,phantom,32.1853,0.7668,31.892822
0,phantom,31.4129,0.7457,36.185120
0,phantom,31.9549,0.7442,34.159546
0,phantom,32.1072,0.7555,32.152710
0,phantom,31.9239,0.7442,33.581360
0,phantom,31.4931,0.7370,36.356934
0,phantom,31.3591,0.7385,35.396118
0,phantom,31.5119,0.7421,34.892517
0,phantom,32.0977,0.7608,30.459290
0,phantom,31.7153,0.7361,33.760864
0,phantom,31.7041,0.7438,33.186035
0,phantom,31.5484,0.7348,34.508728
0,phantom,31.9514,0.7525,32.677002
0,phantom,32.0836,0.7468,30.355591
0,phantom,31.8869,0.7442,31.032532
0,phantom,32.0919,0.7442,31.043823
0,phantom,32.0627,0.7377,31.158813
0,phantom,31.9320,0.7242,31.925110
0,phantom,31.8462,0.7592,31.584717
0,phantom,32.0975,0.7398,30.586243
0,phantom,32.0672,0.7433,31.694885
0,phantom,31.8622,0.7354,31.991516
0,phantom,32.1456,0.7393,31.143921
0,phantom,31.8563,0.7195,32.580566
0,phantom,31.9638,0.7336,30.980835
0,phantom,32.5505,0.7466,28.924988
0,phantom,32.2775,0.7423,29.425537
0,phantom,31.7303,0.7195,33.047241
0,phantom,31.7985,0.7216,32.226257
0,phantom,32.1553,0.7238,30.649292
0,phantom,32.5335,0.7422,26.269287
0,phantom,32.2387,0.7490,26.646179
0,phantom,32.6608,0.7619,24.877686
0,phantom,32.6828,0.7698,24.605774
0,phantom,33.0367,0.7536,23.237244
0,phantom,32.6696,0.7490,25.149902
0,phantom,32.8355,0.7500,23.941162
0,phantom,33.4292,0.7674,22.679138
0,phantom,32.9907,0.7652,23.081482
0,phantom,33.1573,0.7566,21.258850
0,phantom,33.7415,0.7797,19.302734
0,phantom,33.4564,0.7898,20.167114
0,phantom,34.5463,0.7996,17.202087
0,phantom,34.3347,0.7860,18.013733
0,phantom,34.3271,0.7910,17.242981
