Scan,Image_name, PSNR, SSIM, MSE
0,phantom,29.0071,0.3824,37.149902
0,phantom,29.0109,0.4156,34.735107
0,phantom,28.6846,0.4004,37.825745
0,phantom,28.6082,0.4079,38.058655
0,phantom,28.1061,0.3824,41.133667
0,phantom,27.9141,0.4060,40.412109
0,phantom,27.4399,0.3912,43.024292
0,phantom,27.6389,0.4101,42.805908
0,phantom,27.5490,0.4102,44.710876
0,phantom,27.1960,0.4123,44.002014
0,phantom,27.2223,0.4197,44.392822
0,phantom,26.9274,0.4162,45.149292
0,phantom,26.9119,0.4091,49.367981
0,phantom,26.7080,0.4151,47.391724
0,phantom,26.5351,0.4262,48.743652
0,phantom,26.1843,0.4150,50.328491
0,phantom,26.1040,0.4177,48.016663
0,phantom,26.0942,0.4221,49.611694
0,phantom,26.0117,0.4156,52.427734
0,phantom,26.0990,0.4389,52.200806
0,phantom,25.9193,0.4147,52.978699
0,phantom,25.5635,0.4193,54.793030
0,phantom,25.4993,0.4130,55.843262
0,phantom,25.4873,0.4281,55.676697
0,phantom,25.3548,0.4270,57.698486
0,phantom,25.3796,0.4455,53.214294
0,phantom,25.1984,0.4413,54.599792
0,phantom,25.0866,0.4544,55.068420
0,phantom,24.8874,0.4481,57.808105
0,phantom,24.6277,0.4576,56.423706
0,phantom,24.7079,0.4572,57.743958
0,phantom,24.5874,0.4559,56.244080
0,phantom,24.4356,0.4474,60.211548
0,phantom,24.2663,0.4463,61.707031
0,phantom,24.3997,0.4518,59.873169
0,phantom,24.4123,0.4610,59.785217
0,phantom,24.3449,0.4576,60.170166
0,phantom,24.1231,0.4594,60.916626
0,phantom,24.0944,0.4558,58.644043
0,phantom,24.2299,0.4580,60.649353
0,phantom,24.3761,0.4611,59.505676
0,phantom,24.2451,0.4551,60.869812
0,phantom,24.2969,0.4620,60.841736
0,phantom,24.3244,0.4418,60.972046
0,phantom,24.2440,0.4465,62.145203
0,phantom,24.5083,0.4646,60.137756
0,phantom,24.3956,0.4544,62.581726
0,phantom,24.3630,0.4553,60.316406
0,phantom,24.3865,0.4184,63.402954
0,phantom,24.6824,0.4309,59.400940
0,phantom,24.4628,0.4253,62.907898
0,phantom,24.4586,0.4143,61.162048
0,phantom,24.6133,0.4342,61.150330
0,phantom,24.6172,0.4296,61.119202
0,phantom,24.5948,0.4234,62.345886
0,phantom,24.7279,0.4286,61.108337
0,phantom,24.5666,0.4216,60.204407
0,phantom,24.5555,0.4299,60.991028
0,phantom,24.4221,0.4133,63.611511
0,phantom,24.9098,0.4372,60.550537
0,phantom,24.6367,0.4246,61.490906
0,phantom,24.6975,0.4340,59.711853
0,phantom,24.7537,0.4152,60.405151
0,phantom,24.8885,0.4300,61.897400
0,phantom,24.8657,0.4263,58.227844
0,phantom,24.7083,0.4164,60.570984
0,phantom,24.7271,0.4026,61.617737
0,phantom,24.8781,0.4160,59.196899
0,phantom,24.8540,0.4132,60.515503
0,phantom,24.9463,0.4113,58.808594
0,phantom,24.7942,0.3914,60.638062
0,phantom,24.7408,0.3954,57.774902
0,phantom,25.1159,0.3985,58.556885
0,phantom,25.3221,0.4193,56.929016
0,phantom,25.1171,0.4017,59.923584
0,phantom,25.2771,0.4015,57.293884
0,phantom,25.3431,0.4047,57.056030
0,phantom,25.2979,0.3885,56.338135
0,phantom,25.4028,0.3968,56.145996
0,phantom,25.2922,0.3891,57.217163
0,phantom,25.6873,0.4028,54.606445
0,phantom,25.4152,0.3965,54.661011
0,phantom,25.6925,0.3930,55.383545
0,phantom,25.9664,0.4030,49.681335
0,phantom,25.9146,0.3843,53.720581
0,phantom,25.9849,0.3899,54.218018
0,phantom,26.1008,0.3914,50.776489
0,phantom,26.4252,0.3953,51.460327
0,phantom,26.3296,0.4106,48.772461
0,phantom,26.7167,0.4011,49.002930
0,phantom,26.8401,0.4211,46.014893
0,phantom,26.8568,0.3998,49.107056
0,phantom,27.0737,0.4076,44.809753
0,phantom,27.1258,0.4179,43.834167
0,phantom,27.3832,0.4006,44.051575
0,phantom,27.3050,0.3950,43.209351
0,phantom,27.6287,0.4112,41.569458
0,phantom,27.5820,0.3954,42.830078
0,phantom,28.2727,0.4017,41.753357
0,phantom,28.3042,0.4010,40.272705
0,phantom,28.3401,0.4064,35.983582
0,phantom,28.8315,0.4071,35.365601
