Scan,Image_name, PSNR, SSIM, MSE
0,phantom,26.2995,0.3017,36.091980
0,phantom,26.3553,0.3062,38.691101
0,phantom,26.2454,0.3209,40.298279
0,phantom,25.6100,0.2868,40.838257
0,phantom,25.8449,0.3146,41.727966
0,phantom,25.5366,0.3210,42.727234
0,phantom,25.1847,0.3068,45.282349
0,phantom,25.2823,0.3185,44.168579
0,phantom,25.3310,0.3255,43.757568
0,phantom,24.8763,0.3021,47.895752
0,phantom,25.0684,0.3241,46.835266
0,phantom,24.7665,0.3217,50.564880
0,phantom,24.6834,0.3348,48.772827
0,phantom,24.4725,0.3243,50.481934
0,phantom,24.6815,0.3334,49.194763
0,phantom,24.3950,0.3246,51.926758
0,phantom,24.2499,0.3290,52.236511
0,phantom,24.1519,0.3412,52.359375
0,phantom,24.2512,0.3443,51.742920
0,phantom,24.0164,0.3327,55.001892
0,phantom,24.1879,0.3420,54.159851
0,phantom,24.0237,0.3443,53.990173
0,phantom,23.9234,0.3334,55.555908
0,phantom,23.6542,0.3376,58.014709
0,phantom,23.8068,0.3500,56.147278
0,phantom,23.6793,0.3637,57.679016
0,phantom,23.7968,0.3691,58.003235
0,phantom,23.4701,0.3637,59.699158
0,phantom,23.4222,0.3618,59.470276
0,phantom,23.6019,0.3630,59.690125
0,phantom,23.2868,0.3711,60.429993
0,phantom,23.5046,0.3831,59.834717
0,phantom,23.1138,0.3635,61.455750
0,phantom,23.1128,0.3724,61.619141
0,phantom,23.1968,0.3757,62.706787
0,phantom,23.2439,0.3795,61.612061
0,phantom,23.1411,0.3821,61.321167
0,phantom,23.2993,0.3875,60.960144
0,phantom,23.2867,0.3828,61.923279
0,phantom,23.3344,0.3882,61.544861
0,phantom,23.4580,0.3877,60.417358
0,phantom,23.0827,0.3727,65.155212
0,phantom,23.1330,0.3672,63.113525
0,phantom,22.8874,0.3593,63.471863
0,phantom,23.0086,0.3658,64.253357
0,phantom,23.0962,0.3677,62.726746
0,phantom,23.1416,0.3489,63.782959
0,phantom,23.2228,0.3578,62.367798
0,phantom,23.1269,0.3569,62.337769
0,phantom,23.0939,0.3572,63.298340
0,phantom,23.1692,0.3561,63.441223
0,phantom,23.0148,0.3469,62.775085
0,phantom,23.2957,0.3587,61.882751
0,phantom,23.2963,0.3557,63.031494
0,phantom,23.0723,0.3436,63.061768
0,phantom,23.0375,0.3421,64.614197
0,phantom,23.2124,0.3528,62.854431
0,phantom,23.0323,0.3414,63.246399
0,phantom,23.0882,0.3419,62.894592
0,phantom,23.2304,0.3437,64.339172
0,phantom,23.2896,0.3487,61.904358
0,phantom,23.2505,0.3473,62.117676
0,phantom,23.4925,0.3514,60.314941
0,phantom,23.5079,0.3370,62.412231
0,phantom,23.1877,0.3348,62.127991
0,phantom,23.3151,0.3416,62.289001
0,phantom,23.4284,0.3437,61.110718
0,phantom,23.4349,0.3251,61.830383
0,phantom,23.4233,0.3297,59.133118
0,phantom,23.4939,0.3453,58.490845
0,phantom,23.2106,0.3198,59.922363
0,phantom,23.6943,0.3306,58.872192
0,phantom,23.3997,0.3319,59.100952
0,phantom,23.7513,0.3238,57.594116
0,phantom,23.4291,0.3224,58.940308
0,phantom,23.4336,0.3108,59.166504
0,phantom,23.8904,0.3382,55.294678
0,phantom,23.7136,0.3086,59.106689
0,phantom,23.8364,0.3296,56.558105
0,phantom,23.6402,0.3088,57.259399
0,phantom,23.9007,0.3166,54.918274
0,phantom,23.9798,0.3270,53.887695
0,phantom,24.2881,0.3248,51.989990
0,phantom,24.1261,0.3123,55.177368
0,phantom,24.3508,0.3322,52.075928
0,phantom,24.1661,0.3178,52.295593
0,phantom,24.3197,0.3129,51.792297
0,phantom,24.3322,0.3282,50.507202
0,phantom,24.6333,0.3303,49.103333
0,phantom,24.6022,0.3156,50.494080
0,phantom,24.9641,0.3199,48.254272
0,phantom,24.8414,0.3258,46.259521
0,phantom,24.9504,0.3272,47.662292
0,phantom,25.1369,0.3168,45.276855
0,phantom,25.1660,0.3079,45.305847
0,phantom,25.3286,0.3102,44.796936
0,phantom,25.6661,0.3165,43.544739
0,phantom,25.5574,0.3145,42.048157
0,phantom,25.7479,0.3135,41.708557
0,phantom,25.9388,0.3081,38.998108
0,phantom,26.2552,0.2967,39.247986
0,phantom,26.3649,0.3154,38.454712
