Scan,Image_name, PSNR, SSIM, MSE
0,phantom,17.7982,0.0636,58.313782
0,phantom,17.6778,0.0855,58.552002
0,phantom,17.6784,0.0928,59.268372
0,phantom,17.5892,0.0982,60.716980
0,phantom,17.5586,0.1042,62.542603
0,phantom,17.6082,0.1097,62.534058
0,phantom,17.5699,0.1144,62.591919
0,phantom,17.4927,0.1198,64.135010
0,phantom,17.3612,0.1233,65.254211
0,phantom,17.3496,0.1256,65.943298
0,phantom,17.4045,0.1315,66.137329
0,phantom,17.3603,0.1347,66.835327
0,phantom,17.2968,0.1410,68.151733
0,phantom,17.2689,0.1437,67.370972
0,phantom,17.1964,0.1456,70.195557
0,phantom,17.3029,0.1507,68.747375
0,phantom,17.1868,0.1524,69.325378
0,phantom,17.2556,0.1560,69.926880
0,phantom,17.2678,0.1582,71.551331
0,phantom,17.1443,0.1601,71.386353
0,phantom,17.2233,0.1636,72.063599
0,phantom,17.1385,0.1659,71.502869
0,phantom,17.0763,0.1674,73.240356
0,phantom,17.1381,0.1734,73.477234
0,phantom,16.9854,0.1773,75.435669
0,phantom,17.0247,0.1782,74.873413
0,phantom,17.1086,0.1886,74.598328
0,phantom,17.1083,0.1931,75.976501
0,phantom,17.0456,0.1970,76.888428
0,phantom,16.9847,0.1985,77.553772
0,phantom,17.0348,0.2026,76.358948
0,phantom,16.9639,0.2043,77.156372
0,phantom,17.0400,0.2063,77.122742
0,phantom,17.0379,0.2102,77.513489
0,phantom,16.9866,0.2086,77.424683
0,phantom,17.0534,0.2149,77.773376
0,phantom,17.0693,0.2139,78.212524
0,phantom,16.9694,0.2145,79.221130
0,phantom,16.9175,0.2144,78.815735
0,phantom,17.1042,0.2166,78.696777
0,phantom,16.8456,0.2134,79.496582
0,phantom,17.0700,0.2160,79.646912
0,phantom,17.0497,0.2139,80.299255
0,phantom,16.9926,0.2124,79.911377
0,phantom,16.9575,0.2100,79.551331
0,phantom,16.8650,0.2069,79.908142
0,phantom,16.9426,0.2012,80.016113
0,phantom,16.7570,0.1983,79.972961
0,phantom,16.7324,0.1976,79.963806
0,phantom,16.8162,0.1956,80.812805
0,phantom,16.8602,0.1959,80.868652
0,phantom,16.9176,0.1970,79.493835
0,phantom,16.8226,0.1964,80.503479
0,phantom,16.8398,0.1959,80.258850
0,phantom,16.8242,0.1949,80.397705
0,phantom,16.7895,0.1922,80.633850
0,phantom,16.8061,0.1941,81.426392
0,phantom,16.9132,0.1941,79.649658
0,phantom,16.8804,0.1937,80.320862
0,phantom,16.8434,0.1930,79.952515
0,phantom,16.8963,0.1925,79.166565
0,phantom,16.8276,0.1900,78.986145
0,phantom,16.8800,0.1881,80.888428
0,phantom,16.8672,0.1880,79.049622
0,phantom,16.8900,0.1868,79.008362
0,phantom,16.9190,0.1860,78.518494
0,phantom,16.9677,0.1845,80.293152
0,phantom,16.8509,0.1814,79.066162
0,phantom,16.9206,0.1793,77.305664
0,phantom,17.0928,0.1795,78.206726
0,phantom,16.9927,0.1764,77.418152
0,phantom,16.8811,0.1747,77.738831
0,phantom,17.0939,0.1751,76.592224
0,phantom,16.9821,0.1738,76.834473
0,phantom,16.9726,0.1706,75.905762
0,phantom,17.0729,0.1707,75.710083
0,phantom,17.0898,0.1694,76.495422
0,phantom,16.9164,0.1658,75.615234
0,phantom,17.0357,0.1645,75.507263
0,phantom,17.0837,0.1626,74.555420
0,phantom,17.0097,0.1599,73.206665
0,phantom,17.1829,0.1596,73.386047
0,phantom,17.1788,0.1557,72.094788
0,phantom,17.0607,0.1527,72.077332
0,phantom,17.2441,0.1518,71.438538
0,phantom,17.0797,0.1490,71.907776
0,phantom,17.2966,0.1483,70.192261
0,phantom,17.2572,0.1449,70.795837
0,phantom,17.2807,0.1445,68.962158
0,phantom,17.2258,0.1392,69.037231
0,phantom,17.3108,0.1388,67.727478
0,phantom,17.3381,0.1350,67.302307
0,phantom,17.3859,0.1314,66.400330
0,phantom,17.2997,0.1279,66.011719
0,phantom,17.4268,0.1245,65.161804
0,phantom,17.3748,0.1195,63.828674
0,phantom,17.5765,0.1173,63.311340
0,phantom,17.5904,0.1111,62.426270
0,phantom,17.5406,0.1059,62.466736
0,phantom,17.6135,0.1039,60.693787
0,phantom,17.5845,0.0967,61.427246
0,phantom,17.6050,0.0917,60.083679
