Scan,Image_name, PSNR, SSIM, MSE
0,phantom,22.6787,0.1282,51.612671
0,phantom,22.8624,0.1409,50.825012
0,phantom,22.9965,0.1502,51.786987
0,phantom,22.8438,0.1542,53.551758
0,phantom,22.8864,0.1617,54.347717
0,phantom,22.8153,0.1685,55.693542
0,phantom,22.7553,0.1750,56.709473
0,phantom,22.6400,0.1797,57.312927
0,phantom,22.6271,0.1844,59.144104
0,phantom,22.4660,0.1862,60.148743
0,phantom,22.3765,0.1911,60.869141
0,phantom,22.3047,0.1957,62.045227
0,phantom,22.3177,0.2011,63.013672
0,phantom,22.2607,0.2048,63.642700
0,phantom,22.1935,0.2072,64.979065
0,phantom,22.1707,0.2123,64.824585
0,phantom,22.0983,0.2156,66.457886
0,phantom,22.0230,0.2176,67.612366
0,phantom,22.0068,0.2210,68.839233
0,phantom,21.9729,0.2228,69.734924
0,phantom,21.9996,0.2269,69.282898
0,phantom,22.0359,0.2322,70.184814
0,phantom,21.9896,0.2398,69.590027
0,phantom,21.8316,0.2433,72.484192
0,phantom,21.7984,0.2467,71.288879
0,phantom,21.6863,0.2550,71.250183
0,phantom,21.7010,0.2614,71.737366
0,phantom,21.7159,0.2659,73.020569
0,phantom,21.7959,0.2695,72.307068
0,phantom,21.7641,0.2726,73.257141
0,phantom,21.7754,0.2777,73.103455
0,phantom,21.7902,0.2811,73.708496
0,phantom,21.8152,0.2843,73.502075
0,phantom,21.7187,0.2848,74.942078
0,phantom,21.7116,0.2877,74.638489
0,phantom,21.7164,0.2890,75.776367
0,phantom,21.7594,0.2903,76.200745
0,phantom,21.6399,0.2894,76.748291
0,phantom,21.6230,0.2893,76.615295
0,phantom,21.6002,0.2897,77.057617
0,phantom,21.6167,0.2884,77.805786
0,phantom,21.5590,0.2881,78.494568
0,phantom,21.6120,0.2889,76.101379
0,phantom,21.4747,0.2832,77.645935
0,phantom,21.4285,0.2792,77.450012
0,phantom,21.5623,0.2751,79.280762
0,phantom,21.6576,0.2759,79.337341
0,phantom,21.5466,0.2698,80.523010
0,phantom,21.4607,0.2648,80.023071
0,phantom,21.4773,0.2642,79.500122
0,phantom,21.5775,0.2655,78.370850
0,phantom,21.6829,0.2669,79.299255
0,phantom,21.6390,0.2661,79.250122
0,phantom,21.6155,0.2659,78.635437
0,phantom,21.5583,0.2643,77.763611
0,phantom,21.6093,0.2649,79.025757
0,phantom,21.6242,0.2635,79.580261
0,phantom,21.5894,0.2614,78.950012
0,phantom,21.6892,0.2625,78.590332
0,phantom,21.6760,0.2613,79.105713
0,phantom,21.6851,0.2592,79.107544
0,phantom,21.7731,0.2588,77.208374
0,phantom,21.7341,0.2569,78.665222
0,phantom,21.7412,0.2553,76.248840
0,phantom,21.7591,0.2529,76.588257
0,phantom,21.7776,0.2492,77.541321
0,phantom,21.7706,0.2455,76.455872
0,phantom,21.7403,0.2412,76.432983
0,phantom,21.7926,0.2401,75.506226
0,phantom,21.8399,0.2392,75.470886
0,phantom,21.8942,0.2387,75.320374
0,phantom,21.7784,0.2353,74.551208
0,phantom,21.7412,0.2332,74.984680
0,phantom,21.9146,0.2337,73.439331
0,phantom,21.9491,0.2320,72.762024
0,phantom,21.8465,0.2278,73.709534
0,phantom,21.9306,0.2259,72.353760
0,phantom,22.0203,0.2246,71.284851
0,phantom,22.0311,0.2229,71.482056
0,phantom,21.9729,0.2193,71.258179
0,phantom,21.9551,0.2156,70.024292
0,phantom,22.0137,0.2129,69.349426
0,phantom,21.9872,0.2097,68.584106
0,phantom,22.0635,0.2078,68.383789
0,phantom,22.1914,0.2067,68.197815
0,phantom,22.2014,0.2042,67.062317
0,phantom,22.1685,0.2021,65.855347
0,phantom,22.2413,0.2007,65.765869
0,phantom,22.3461,0.1998,64.040710
0,phantom,22.2919,0.1949,64.466370
0,phantom,22.3282,0.1915,61.811951
0,phantom,22.4589,0.1897,60.354980
0,phantom,22.5112,0.1852,60.078064
0,phantom,22.5263,0.1803,59.531860
0,phantom,22.5896,0.1767,59.180786
0,phantom,22.5965,0.1699,57.264465
0,phantom,22.7084,0.1646,56.533325
0,phantom,22.8529,0.1608,54.873840
0,phantom,23.0019,0.1581,53.266724
0,phantom,23.1449,0.1545,52.310852
