Scan,Image_name, PSNR, SSIM, MSE
0,phantom,33.5083,0.7688,16.334106
0,phantom,33.6139,0.7823,17.043457
0,phantom,33.2733,0.7653,16.851807
0,phantom,32.4545,0.7444,20.966980
0,phantom,32.1482,0.7429,21.667175
0,phantom,32.5999,0.7743,18.781860
0,phantom,31.4239,0.7284,25.582642
0,phantom,31.4372,0.7552,22.485657
0,phantom,31.8753,0.7384,23.582031
0,phantom,31.8122,0.7486,24.622253
0,phantom,31.4939,0.7238,26.833191
0,phantom,31.2985,0.7479,25.313843
0,phantom,30.7279,0.7118,30.475830
0,phantom,31.3170,0.7462,28.187744
0,phantom,31.3330,0.7372,26.385620
0,phantom,31.0573,0.7519,27.176941
0,phantom,30.9201,0.7454,27.313843
0,phantom,30.6384,0.7378,30.572998
0,phantom,30.5418,0.7167,32.147888
0,phantom,30.6184,0.7165,31.910767
0,phantom,30.9302,0.7477,29.613159
0,phantom,30.6659,0.7312,31.828125
0,phantom,30.0270,0.7072,33.918579
0,phantom,30.3731,0.7191,34.312073
0,phantom,30.2267,0.7158,31.937012
0,phantom,29.6106,0.7120,38.187500
0,phantom,30.0322,0.7512,32.467224
0,phantom,29.5041,0.7375,36.499207
0,phantom,29.0521,0.7240,36.948730
0,phantom,29.4909,0.7227,38.127441
0,phantom,29.1421,0.7234,38.555237
0,phantom,28.9541,0.7154,41.933960
0,phantom,29.2528,0.7501,37.155273
0,phantom,29.1416,0.7237,37.813354
0,phantom,28.9859,0.7377,38.127808
0,phantom,29.0231,0.7105,38.724731
0,phantom,29.2192,0.7466,37.425476
0,phantom,29.0514,0.7479,35.664062
0,phantom,29.0544,0.7352,39.967834
0,phantom,28.7913,0.7070,45.031982
0,phantom,28.9308,0.7093,40.520142
0,phantom,29.2269,0.7282,38.428833
0,phantom,29.0853,0.7373,38.269470
0,phantom,29.4086,0.7371,38.543030
0,phantom,29.3111,0.7280,39.343872
0,phantom,29.6389,0.7529,37.288269
0,phantom,29.2772,0.7160,42.269165
0,phantom,29.5390,0.7209,39.634399
0,phantom,29.3416,0.7159,41.544739
0,phantom,30.0132,0.7378,37.953308
0,phantom,29.5263,0.7204,41.331604
0,phantom,29.9085,0.7375,36.768677
0,phantom,29.8222,0.7348,39.382812
0,phantom,29.8363,0.7291,40.834595
0,phantom,29.7124,0.7253,39.835571
0,phantom,29.5030,0.7214,38.956238
0,phantom,29.9921,0.7581,36.597046
0,phantom,29.5189,0.7046,42.142517
0,phantom,30.2723,0.7357,36.839233
0,phantom,29.9572,0.7336,37.778625
0,phantom,29.5373,0.7201,43.023132
0,phantom,30.1647,0.7363,36.902344
0,phantom,29.8929,0.7214,39.085388
0,phantom,29.7255,0.7273,41.424683
0,phantom,30.1820,0.7420,36.652527
0,phantom,30.0207,0.7303,38.262451
0,phantom,30.2688,0.7390,34.012512
0,phantom,30.1919,0.7258,37.543091
0,phantom,30.1922,0.7290,35.756836
0,phantom,30.7391,0.7479,32.317993
0,phantom,30.6266,0.7342,34.898376
0,phantom,30.7228,0.7448,33.196289
0,phantom,30.5665,0.7415,32.134888
0,phantom,30.2534,0.7209,38.620667
0,phantom,30.4367,0.7338,35.507507
0,phantom,30.3824,0.7190,36.654114
0,phantom,30.5022,0.7265,33.783630
0,phantom,30.7881,0.7084,33.343445
0,phantom,30.2937,0.7350,32.694824
0,phantom,31.2069,0.7486,27.967407
0,phantom,30.5351,0.7226,32.705994
0,phantom,30.2031,0.7034,33.866150
0,phantom,30.8915,0.7312,30.832336
0,phantom,30.9479,0.7340,30.258728
0,phantom,30.7805,0.6997,31.891846
0,phantom,30.8055,0.7185,31.642090
0,phantom,30.9511,0.7302,29.752258
0,phantom,31.2392,0.7402,29.492432
0,phantom,30.8733,0.7254,26.898865
0,phantom,30.6975,0.7160,30.924011
0,phantom,31.4232,0.7322,27.651978
0,phantom,31.5060,0.7099,26.564697
0,phantom,32.0909,0.7519,22.506592
0,phantom,31.0551,0.7117,27.468567
0,phantom,31.7415,0.7497,23.825317
0,phantom,31.7003,0.7334,23.896484
0,phantom,32.2868,0.7376,22.968201
0,phantom,32.3953,0.7489,21.005371
0,phantom,33.2113,0.7794,18.651306
0,phantom,32.8790,0.7571,18.417053
0,phantom,32.9918,0.7706,17.713501
0,phantom,33.1208,0.7646,18.554810
