Scan,Image_name, PSNR, SSIM, MSE
0,phantom,34.8011,0.8120,14.854492
0,phantom,34.6411,0.8093,15.178101
0,phantom,33.9403,0.7796,18.635681
0,phantom,34.1141,0.7902,18.199951
0,phantom,34.2503,0.7996,16.624451
0,phantom,33.1580,0.7739,21.769226
0,phantom,33.1290,0.7817,21.588989
0,phantom,33.6243,0.7788,20.100952
0,phantom,33.2444,0.7658,21.556396
0,phantom,33.3563,0.7694,22.241455
0,phantom,32.9648,0.7666,23.245850
0,phantom,32.6683,0.7506,25.692261
0,phantom,32.8396,0.7708,24.847412
0,phantom,32.7913,0.7659,23.944336
0,phantom,32.8305,0.7748,23.011536
0,phantom,32.6787,0.7660,24.279663
0,phantom,32.3393,0.7547,27.100464
0,phantom,32.3444,0.7469,28.540344
0,phantom,32.1369,0.7435,28.333130
0,phantom,33.0677,0.7725,24.898254
0,phantom,32.3330,0.7562,28.186951
0,phantom,31.5809,0.7281,30.215393
0,phantom,31.9170,0.7401,29.913147
0,phantom,31.8358,0.7303,30.577271
0,phantom,31.1561,0.7376,33.108948
0,phantom,31.8670,0.7748,28.522217
0,phantom,31.2960,0.7629,31.404114
0,phantom,30.6029,0.7428,31.768555
0,phantom,31.1154,0.7407,32.765320
0,phantom,30.7355,0.7413,34.441772
0,phantom,30.6088,0.7403,36.863525
0,phantom,30.8333,0.7507,33.422729
0,phantom,30.7232,0.7465,35.175476
0,phantom,30.7410,0.7498,32.731934
0,phantom,31.0630,0.7376,32.297852
0,phantom,31.0520,0.7615,32.271057
0,phantom,30.8719,0.7612,31.556458
0,phantom,30.8831,0.7527,34.279541
0,phantom,30.6153,0.7248,37.997803
0,phantom,30.5534,0.7208,36.119934
0,phantom,30.9432,0.7478,35.096863
0,phantom,30.9433,0.7602,32.142151
0,phantom,31.3055,0.7539,33.595520
0,phantom,31.4923,0.7570,31.522400
0,phantom,31.7112,0.7594,31.771240
0,phantom,31.1351,0.7343,35.757202
0,phantom,31.0856,0.7322,35.080933
0,phantom,31.2091,0.7367,36.254211
0,phantom,31.4978,0.7537,33.604614
0,phantom,31.3804,0.7444,35.850586
0,phantom,32.0937,0.7564,31.620972
0,phantom,31.7638,0.7486,34.415222
0,phantom,31.7455,0.7398,35.644409
0,phantom,31.6656,0.7395,34.530457
0,phantom,31.3940,0.7441,33.233887
0,phantom,31.7738,0.7632,32.611755
0,phantom,31.4098,0.7298,36.172668
0,phantom,31.7467,0.7441,33.570190
0,phantom,31.6204,0.7455,34.150024
0,phantom,31.4211,0.7381,36.034241
0,phantom,31.9427,0.7560,32.323242
0,phantom,31.6671,0.7383,34.359192
0,phantom,31.6565,0.7472,35.154358
0,phantom,31.8046,0.7486,33.603882
0,phantom,31.9516,0.7519,32.159302
0,phantom,31.6571,0.7471,31.148804
0,phantom,31.6483,0.7392,32.817383
0,phantom,31.6881,0.7374,32.082703
0,phantom,32.1416,0.7431,30.227295
0,phantom,32.3865,0.7500,29.081604
0,phantom,32.0809,0.7522,29.489746
0,phantom,31.9654,0.7457,29.966003
0,phantom,31.8462,0.7343,34.022827
0,phantom,31.9252,0.7387,33.147156
0,phantom,31.9090,0.7310,31.709656
0,phantom,31.9271,0.7328,31.019409
0,phantom,32.5343,0.7265,27.997131
0,phantom,32.0611,0.7458,27.283081
0,phantom,32.5877,0.7523,26.678833
0,phantom,32.0844,0.7377,29.363342
0,phantom,31.7065,0.7193,32.802307
0,phantom,32.4275,0.7442,28.588013
0,phantom,32.4914,0.7389,27.529419
0,phantom,32.3316,0.7265,27.949646
0,phantom,32.5455,0.7367,27.779297
0,phantom,32.6032,0.7388,25.739075
0,phantom,32.7909,0.7619,25.212708
0,phantom,32.7203,0.7548,23.726379
0,phantom,32.5122,0.7405,26.838379
0,phantom,32.8116,0.7449,25.003418
0,phantom,33.2092,0.7518,23.526062
0,phantom,33.6885,0.7732,20.343262
0,phantom,33.1008,0.7585,22.560669
0,phantom,33.1501,0.7682,22.482910
0,phantom,33.3625,0.7688,20.433350
0,phantom,33.4320,0.7671,21.253784
0,phantom,33.8116,0.7805,19.191040
0,phantom,34.9247,0.8037,15.766174
0,phantom,34.7702,0.8021,15.164185
0,phantom,34.5252,0.8005,17.156982
0,phantom,25.8243,0.5440,61.048401
