Scan,Image_name, PSNR, SSIM, MSE
0,phantom,29.0712,0.3873,38.045898
0,phantom,29.3773,0.4123,35.987549
0,phantom,28.3589,0.3926,39.242432
0,phantom,28.3648,0.4014,38.098877
0,phantom,28.0822,0.4130,40.437073
0,phantom,28.0630,0.4103,40.369873
0,phantom,27.5453,0.4096,41.073181
0,phantom,27.1988,0.4075,43.734863
0,phantom,27.3072,0.4065,44.289246
0,phantom,26.9503,0.4022,46.797607
0,phantom,27.0911,0.4086,47.079773
0,phantom,26.6572,0.4067,46.693909
0,phantom,26.8056,0.4113,48.633850
0,phantom,26.5200,0.4176,49.279114
0,phantom,26.5023,0.4096,48.043762
0,phantom,26.1767,0.4236,48.605652
0,phantom,26.0806,0.4060,51.956543
0,phantom,25.9080,0.4024,53.957520
0,phantom,25.9705,0.4166,49.806885
0,phantom,26.0055,0.4320,50.129089
0,phantom,25.6302,0.4053,55.445740
0,phantom,25.8378,0.4231,54.067749
0,phantom,25.7224,0.4332,54.320557
0,phantom,25.6341,0.4456,52.472595
0,phantom,25.6546,0.4442,52.982727
0,phantom,25.1621,0.4423,56.360901
0,phantom,25.0235,0.4587,54.267883
0,phantom,24.7873,0.4461,59.246582
0,phantom,24.8284,0.4502,56.991150
0,phantom,24.6331,0.4503,59.207336
0,phantom,24.6264,0.4533,59.628479
0,phantom,24.5917,0.4644,57.773254
0,phantom,24.5785,0.4593,58.380432
0,phantom,24.4898,0.4640,57.870056
0,phantom,24.3164,0.4508,59.853149
0,phantom,24.4342,0.4645,59.598877
0,phantom,24.2388,0.4648,59.766907
0,phantom,24.3700,0.4587,58.839600
0,phantom,24.3447,0.4617,61.507324
0,phantom,24.2769,0.4554,60.174988
0,phantom,24.4422,0.4670,59.619690
0,phantom,24.3371,0.4658,58.630615
0,phantom,24.5438,0.4584,61.369324
0,phantom,24.5070,0.4561,59.252563
0,phantom,24.4510,0.4571,61.759277
0,phantom,24.3167,0.4550,58.582825
0,phantom,24.8280,0.4604,60.745178
0,phantom,24.7184,0.4510,58.587830
0,phantom,24.5448,0.4398,59.928467
0,phantom,24.6584,0.4374,63.140808
0,phantom,24.6889,0.4404,60.254333
0,phantom,24.6110,0.4305,63.299133
0,phantom,24.6541,0.4297,61.360229
0,phantom,24.5127,0.4258,63.717346
0,phantom,24.6281,0.4377,57.871399
0,phantom,24.4521,0.4253,60.025574
0,phantom,24.8363,0.4323,60.525574
0,phantom,24.6597,0.4234,60.823486
0,phantom,24.7932,0.4331,58.170776
0,phantom,24.7292,0.4302,60.729492
0,phantom,24.7231,0.4349,59.163513
0,phantom,24.5326,0.4216,62.350281
0,phantom,24.8408,0.4227,61.805054
0,phantom,24.8753,0.4146,60.821594
0,phantom,24.7180,0.4049,60.454224
0,phantom,24.8320,0.4071,60.067261
0,phantom,24.6020,0.4010,61.812561
0,phantom,24.6876,0.4022,57.308777
0,phantom,25.0559,0.4138,58.010681
0,phantom,24.9733,0.4035,58.897522
0,phantom,24.9092,0.4017,60.440247
0,phantom,24.7903,0.3959,61.894592
0,phantom,25.0113,0.3952,57.091064
0,phantom,25.0486,0.3954,60.168396
0,phantom,25.0929,0.3904,58.353088
0,phantom,25.1844,0.4081,55.158875
0,phantom,25.4969,0.4112,57.663513
0,phantom,25.4184,0.4015,56.037292
0,phantom,25.2123,0.3975,58.584473
0,phantom,25.5457,0.3820,57.394043
0,phantom,25.6108,0.3968,55.336609
0,phantom,25.7163,0.3875,57.390747
0,phantom,25.8372,0.4025,54.418274
0,phantom,25.8129,0.3930,55.791321
0,phantom,25.9300,0.3978,50.584900
0,phantom,26.2909,0.4002,53.158813
0,phantom,26.0067,0.4036,51.003845
0,phantom,26.5561,0.4158,48.063293
0,phantom,26.5765,0.4008,47.561218
0,phantom,26.3768,0.4131,46.885254
0,phantom,26.5946,0.3997,49.247681
0,phantom,26.7902,0.4021,46.118042
0,phantom,26.9731,0.4061,45.689758
0,phantom,27.6458,0.4132,41.674683
0,phantom,27.2493,0.4132,45.863647
0,phantom,27.4238,0.4080,43.444092
0,phantom,27.8601,0.3975,42.212463
0,phantom,27.9383,0.3948,41.658386
0,phantom,28.0973,0.3921,41.602966
0,phantom,28.5049,0.4044,39.435059
0,phantom,28.3776,0.4000,37.304932
0,phantom,28.8812,0.4112,35.585449
