Scan,Image_name, PSNR, SSIM, MSE
0,phantom,26.4923,0.2964,39.064880
0,phantom,26.5260,0.3203,37.858704
0,phantom,25.8408,0.3175,39.591980
0,phantom,25.8633,0.3184,39.869568
0,phantom,25.7772,0.3281,40.276367
0,phantom,25.8265,0.3303,41.197815
0,phantom,25.2965,0.3185,43.509033
0,phantom,25.0035,0.3168,45.631165
0,phantom,25.1635,0.3192,44.419678
0,phantom,24.8365,0.3103,45.907715
0,phantom,24.9610,0.3216,47.889160
0,phantom,24.6769,0.3180,50.304810
0,phantom,24.6459,0.3108,50.766357
0,phantom,24.4484,0.3186,51.723816
0,phantom,24.6510,0.3200,51.317261
0,phantom,24.3007,0.3395,51.549927
0,phantom,24.1709,0.3338,50.896851
0,phantom,24.1416,0.3311,52.814880
0,phantom,24.0991,0.3314,52.918762
0,phantom,24.1782,0.3487,52.808594
0,phantom,23.9312,0.3298,55.269226
0,phantom,24.0578,0.3386,55.944397
0,phantom,23.9552,0.3496,54.988770
0,phantom,23.8150,0.3533,57.523621
0,phantom,23.9418,0.3550,55.284119
0,phantom,23.7891,0.3707,55.581299
0,phantom,23.5961,0.3691,56.552490
0,phantom,23.5317,0.3738,59.264771
0,phantom,23.6163,0.3766,57.764221
0,phantom,23.4834,0.3735,57.894165
0,phantom,23.3011,0.3671,60.240234
0,phantom,23.3195,0.3682,60.811157
0,phantom,23.3918,0.3809,59.592651
0,phantom,23.3031,0.3792,59.789978
0,phantom,23.0804,0.3655,62.808350
0,phantom,23.3601,0.3855,60.979919
0,phantom,23.1781,0.3897,59.611511
0,phantom,23.2670,0.3801,61.479187
0,phantom,23.2535,0.3810,62.625305
0,phantom,23.2942,0.3865,61.287842
0,phantom,23.3011,0.3920,61.767944
0,phantom,23.4156,0.3842,62.247925
0,phantom,23.3276,0.3790,61.983032
0,phantom,23.2351,0.3762,62.378052
0,phantom,23.2882,0.3775,61.705261
0,phantom,23.0900,0.3772,62.653748
0,phantom,23.2227,0.3727,61.685608
0,phantom,23.2653,0.3614,62.426270
0,phantom,23.1025,0.3521,63.345642
0,phantom,23.2936,0.3570,63.559143
0,phantom,23.1734,0.3518,63.077698
0,phantom,23.1827,0.3589,61.548828
0,phantom,23.1302,0.3427,63.582703
0,phantom,23.1289,0.3450,62.930908
0,phantom,23.0714,0.3584,62.610901
0,phantom,23.1973,0.3482,65.079041
0,phantom,23.2173,0.3450,62.868042
0,phantom,23.2246,0.3496,62.749146
0,phantom,23.3519,0.3532,62.154297
0,phantom,23.2074,0.3457,62.416138
0,phantom,23.4034,0.3550,61.317322
0,phantom,23.0928,0.3402,62.894897
0,phantom,23.3905,0.3487,62.058777
0,phantom,23.2912,0.3370,64.044495
0,phantom,23.3133,0.3438,62.229248
0,phantom,23.3013,0.3308,60.929749
0,phantom,23.1204,0.3302,61.969727
0,phantom,23.1319,0.3227,60.925964
0,phantom,23.5037,0.3304,60.679138
0,phantom,23.5305,0.3327,59.188171
0,phantom,23.5379,0.3312,60.482117
0,phantom,23.3784,0.3206,60.300537
0,phantom,23.4818,0.3224,59.564697
0,phantom,23.4017,0.3140,59.747192
0,phantom,23.5733,0.3254,59.533325
0,phantom,23.5666,0.3307,58.411194
0,phantom,23.8114,0.3264,55.391968
0,phantom,23.6947,0.3148,56.032959
0,phantom,23.6385,0.3145,56.837463
0,phantom,23.8218,0.3042,56.849976
0,phantom,23.8919,0.3234,54.630798
0,phantom,23.7538,0.3056,56.720703
0,phantom,23.9976,0.3157,54.731934
0,phantom,24.1766,0.3191,53.161743
0,phantom,24.0928,0.3170,52.568420
0,phantom,24.3427,0.3127,52.868835
0,phantom,24.3719,0.3216,52.735535
0,phantom,24.7094,0.3280,50.042664
0,phantom,24.7073,0.3234,48.773743
0,phantom,24.6572,0.3277,48.595459
0,phantom,24.5929,0.3152,48.520996
0,phantom,24.7224,0.3145,48.356934
0,phantom,24.9434,0.3276,47.291443
0,phantom,25.2716,0.3182,45.960083
0,phantom,25.3014,0.3357,44.217285
0,phantom,25.2140,0.3169,43.911682
0,phantom,25.5450,0.3050,43.656616
0,phantom,25.5816,0.3193,41.621399
0,phantom,25.7108,0.3007,43.299561
0,phantom,26.0449,0.3078,38.529907
0,phantom,26.0252,0.3122,38.920471
0,phantom,26.3547,0.3197,36.290833
