Scan,Image_name, PSNR, SSIM, MSE
0,phantom,17.6938,0.0806,60.481995
0,phantom,17.7308,0.0915,58.290344
0,phantom,17.5764,0.0934,60.011963
0,phantom,17.5220,0.1003,61.274719
0,phantom,17.6335,0.1072,61.562683
0,phantom,17.4870,0.1114,63.324463
0,phantom,17.5711,0.1176,62.287659
0,phantom,17.3763,0.1200,65.229065
0,phantom,17.3093,0.1237,65.304321
0,phantom,17.3258,0.1295,64.854919
0,phantom,17.2810,0.1331,66.706177
0,phantom,17.3666,0.1383,67.991577
0,phantom,17.2607,0.1420,68.435791
0,phantom,17.1176,0.1422,68.988037
0,phantom,17.2057,0.1471,69.465332
0,phantom,17.2229,0.1518,69.337280
0,phantom,17.1767,0.1544,69.312988
0,phantom,17.1785,0.1568,71.453918
0,phantom,17.0650,0.1591,71.461060
0,phantom,17.0871,0.1610,71.605286
0,phantom,17.1613,0.1649,72.394592
0,phantom,17.0961,0.1669,72.240234
0,phantom,17.1198,0.1719,73.456848
0,phantom,17.0683,0.1767,74.700989
0,phantom,17.0539,0.1792,74.601868
0,phantom,17.1038,0.1857,73.693115
0,phantom,16.9999,0.1872,75.350647
0,phantom,17.0520,0.1951,75.711426
0,phantom,17.0503,0.1959,75.514526
0,phantom,16.9647,0.2025,76.240540
0,phantom,17.0289,0.2036,77.036804
0,phantom,17.0178,0.2047,77.045349
0,phantom,17.0448,0.2092,77.882690
0,phantom,17.0026,0.2070,77.197998
0,phantom,16.9930,0.2100,79.113892
0,phantom,17.0492,0.2147,78.640564
0,phantom,17.0145,0.2142,78.513184
0,phantom,16.9404,0.2153,79.410217
0,phantom,16.8886,0.2122,79.057312
0,phantom,16.8433,0.2108,79.376709
0,phantom,16.9579,0.2135,79.767578
0,phantom,17.0207,0.2175,79.281555
0,phantom,16.8761,0.2128,80.446045
0,phantom,16.9831,0.2119,79.228149
0,phantom,16.9414,0.2072,79.383911
0,phantom,16.8756,0.2064,78.898438
0,phantom,16.9415,0.2022,79.982300
0,phantom,16.9215,0.1990,80.072144
0,phantom,16.8166,0.1963,80.549255
0,phantom,16.8057,0.1977,80.384277
0,phantom,16.8513,0.1960,80.059448
0,phantom,16.9151,0.1957,79.346497
0,phantom,16.9144,0.1967,79.415527
0,phantom,16.8164,0.1960,81.148682
0,phantom,16.8651,0.1943,79.451660
0,phantom,16.9010,0.1954,80.085022
0,phantom,16.8759,0.1947,81.166321
0,phantom,16.8738,0.1939,80.494934
0,phantom,16.8695,0.1945,80.620605
0,phantom,16.8045,0.1895,78.940613
0,phantom,16.8701,0.1914,79.088379
0,phantom,16.9455,0.1896,79.016113
0,phantom,16.9028,0.1912,80.056396
0,phantom,16.8607,0.1892,79.686951
0,phantom,17.0153,0.1874,78.888672
0,phantom,16.8734,0.1841,78.126770
0,phantom,16.8233,0.1822,78.505920
0,phantom,16.9184,0.1798,78.393188
0,phantom,17.0227,0.1794,78.144958
0,phantom,17.0066,0.1789,77.709839
0,phantom,16.9781,0.1769,77.956787
0,phantom,16.8945,0.1747,78.476624
0,phantom,17.0608,0.1752,77.131348
0,phantom,16.9646,0.1727,77.355225
0,phantom,17.0919,0.1721,74.813293
0,phantom,17.0840,0.1683,76.124756
0,phantom,17.0528,0.1682,76.199280
0,phantom,17.0356,0.1660,75.025391
0,phantom,17.0493,0.1630,74.062744
0,phantom,17.0790,0.1634,74.567932
0,phantom,17.0459,0.1591,73.948547
0,phantom,17.0810,0.1582,73.580139
0,phantom,17.1557,0.1556,72.582642
0,phantom,17.2053,0.1545,71.914856
0,phantom,17.1435,0.1503,70.936707
0,phantom,17.3570,0.1512,70.684265
0,phantom,17.2328,0.1475,70.681580
0,phantom,17.2717,0.1457,69.755310
0,phantom,17.2711,0.1424,68.928955
0,phantom,17.2726,0.1390,68.060181
0,phantom,17.2271,0.1373,67.823669
0,phantom,17.3392,0.1333,67.392212
0,phantom,17.3817,0.1302,66.784668
0,phantom,17.4897,0.1289,65.851074
0,phantom,17.4001,0.1232,64.299072
0,phantom,17.4092,0.1165,65.330017
0,phantom,17.4437,0.1137,63.926025
0,phantom,17.5734,0.1099,63.011719
0,phantom,17.4757,0.1042,62.317444
0,phantom,17.7372,0.1008,61.375000
0,phantom,17.5694,0.0938,60.240479
0,phantom,17.7946,0.0897,58.405884
