Scan,Image_name, PSNR, SSIM, MSE
0,phantom,22.8845,0.1404,50.429382
0,phantom,22.5730,0.1416,50.799133
0,phantom,21.3963,0.1250,52.510193
0,phantom,20.4523,0.1092,54.448975
0,phantom,19.8212,0.0977,56.673706
0,phantom,19.3758,0.0916,58.625671
0,phantom,19.0431,0.0897,59.820801
0,phantom,18.7919,0.0902,61.492615
0,phantom,18.5718,0.0909,62.999207
0,phantom,18.3793,0.0927,65.322388
0,phantom,18.2127,0.0950,65.793274
0,phantom,18.0658,0.0979,66.506226
0,phantom,17.9351,0.1017,67.805969
0,phantom,17.8138,0.1064,68.249878
0,phantom,17.6967,0.1109,70.703369
0,phantom,17.6000,0.1151,71.997192
0,phantom,17.5180,0.1194,72.621765
0,phantom,17.4428,0.1241,73.484497
0,phantom,17.3684,0.1288,73.575867
0,phantom,17.2964,0.1333,74.386414
0,phantom,17.2362,0.1383,75.171814
0,phantom,17.1705,0.1437,75.699524
0,phantom,17.0786,0.1484,76.679199
0,phantom,16.9852,0.1532,76.387024
0,phantom,16.8017,0.1555,76.990051
0,phantom,16.5966,0.1578,78.299500
0,phantom,16.4653,0.1610,78.916443
0,phantom,16.3422,0.1648,79.670776
0,phantom,16.2776,0.1699,79.713501
0,phantom,16.2441,0.1759,79.518494
0,phantom,16.1950,0.1816,79.404724
0,phantom,16.1904,0.1880,79.076904
0,phantom,16.2213,0.1948,78.865967
0,phantom,16.2308,0.2008,79.078308
0,phantom,16.2601,0.2080,78.341919
0,phantom,16.3135,0.2169,78.146362
0,phantom,16.3778,0.2258,76.774963
0,phantom,16.4296,0.2339,76.527039
0,phantom,16.5060,0.2427,76.125488
0,phantom,16.6102,0.2509,75.330627
0,phantom,16.6974,0.2581,74.252014
0,phantom,16.7858,0.2643,72.708740
0,phantom,16.8811,0.2687,73.013733
0,phantom,16.9551,0.2719,72.698730
0,phantom,17.0528,0.2762,72.313965
0,phantom,17.2109,0.2824,71.937927
0,phantom,17.4016,0.2916,71.126404
0,phantom,17.5681,0.3003,71.082153
0,phantom,17.7231,0.3101,69.233337
0,phantom,17.9078,0.3242,67.170349
0,phantom,18.1202,0.3419,64.867920
0,phantom,18.3558,0.3629,62.201538
0,phantom,18.6216,0.3883,59.884277
0,phantom,18.9225,0.4171,58.281006
0,phantom,19.2552,0.4502,56.480286
0,phantom,19.6101,0.4841,54.766846
0,phantom,19.9821,0.5184,53.971191
0,phantom,20.3504,0.5511,52.828186
0,phantom,20.6858,0.5786,50.675598
0,phantom,20.9447,0.6009,48.774353
0,phantom,21.0959,0.6151,47.915894
0,phantom,21.0870,0.6204,46.678406
0,phantom,20.8862,0.6131,45.884399
0,phantom,20.5199,0.5953,44.700867
0,phantom,20.0360,0.5668,42.962402
0,phantom,19.4881,0.5271,41.606750
0,phantom,18.9473,0.4787,41.325623
0,phantom,18.4605,0.4252,41.775818
0,phantom,18.0287,0.3760,43.865601
0,phantom,17.6583,0.3352,47.572388
0,phantom,17.3520,0.3050,51.768555
0,phantom,17.1106,0.2842,56.309265
0,phantom,16.9279,0.2700,61.656189
0,phantom,16.7867,0.2605,66.355957
0,phantom,16.6799,0.2540,70.494995
0,phantom,16.6090,0.2490,74.246521
0,phantom,16.5558,0.2453,76.951050
0,phantom,16.5146,0.2421,78.664856
0,phantom,16.4889,0.2394,79.917969
0,phantom,16.4733,0.2370,80.982056
0,phantom,16.4602,0.2347,81.608704
0,phantom,16.4570,0.2324,81.951050
0,phantom,16.4637,0.2302,80.386841
0,phantom,16.4794,0.2287,79.659363
0,phantom,16.5016,0.2269,77.802063
0,phantom,16.5258,0.2247,76.176392
0,phantom,16.5579,0.2227,74.536072
0,phantom,16.5975,0.2220,73.132812
0,phantom,16.6412,0.2219,71.708435
0,phantom,16.6881,0.2226,69.676392
0,phantom,16.7458,0.2242,68.076172
0,phantom,16.8135,0.2283,65.683716
0,phantom,16.8989,0.2376,63.097473
0,phantom,16.9985,0.2538,61.918884
0,phantom,17.1094,0.2758,60.491821
0,phantom,17.2291,0.3012,59.920410
0,phantom,17.3518,0.3277,59.334106
0,phantom,17.4730,0.3512,59.410706
0,phantom,17.6050,0.3685,58.401917
0,phantom,17.7377,0.3751,58.529724
