ImageName, PSNR, SSIM, MSE
phantomFrame000,31.0548,0.7933,12.518677
phantomFrame001,29.7891,0.8423,11.228760
phantomFrame002,29.6878,0.8204,12.386414
phantomFrame003,29.2806,0.8246,13.270508
phantomFrame004,29.0886,0.8268,14.129700
phantomFrame005,29.0693,0.8077,14.910400
phantomFrame006,28.7556,0.7880,16.679565
phantomFrame007,28.2188,0.7870,18.057556
phantomFrame008,28.3114,0.8045,17.754578
phantomFrame009,28.4690,0.7811,18.944763
phantomFrame010,28.1831,0.7658,19.678650
phantomFrame011,27.9343,0.7728,20.581665
phantomFrame012,27.7062,0.7791,21.365234
phantomFrame013,27.5854,0.7736,21.929016
phantomFrame014,27.5094,0.7280,23.117737
phantomFrame015,27.0882,0.7393,22.884521
phantomFrame016,27.1173,0.7466,23.455566
phantomFrame017,26.2672,0.7012,25.620544
phantomFrame018,26.9161,0.7107,26.195740
phantomFrame019,26.5665,0.6983,26.812622
phantomFrame020,26.4991,0.7041,26.900146
phantomFrame021,26.4013,0.7016,27.731445
phantomFrame022,26.9080,0.7088,26.911072
phantomFrame023,26.7358,0.7127,27.675598
phantomFrame024,26.5171,0.6853,29.563965
phantomFrame025,26.3854,0.6554,30.465210
phantomFrame026,25.2947,0.6813,29.888916
phantomFrame027,24.9918,0.6589,32.185852
phantomFrame028,24.5739,0.6932,32.498169
phantomFrame029,24.1331,0.6685,32.975159
phantomFrame030,24.0464,0.6542,33.867615
phantomFrame031,24.0485,0.6629,33.589844
phantomFrame032,23.8003,0.6794,34.428528
phantomFrame033,23.8417,0.6484,35.746033
phantomFrame034,23.9221,0.6695,34.774109
phantomFrame035,23.7890,0.6390,36.617188
phantomFrame036,23.5073,0.6626,36.893127
phantomFrame037,23.4392,0.6624,35.940186
phantomFrame038,23.3513,0.6542,37.541565
phantomFrame039,23.6628,0.6828,35.864502
phantomFrame040,23.7589,0.6785,36.538208
phantomFrame041,23.9224,0.6739,36.956787
phantomFrame042,24.1387,0.6481,37.185913
phantomFrame043,24.3973,0.6725,36.626465
phantomFrame044,24.3710,0.6568,36.282288
phantomFrame045,24.8834,0.6574,36.676941
phantomFrame046,25.4197,0.6702,35.796875
phantomFrame047,25.7840,0.6862,34.992126
phantomFrame048,25.7578,0.7126,32.702820
phantomFrame049,25.4400,0.7029,34.486633
phantomFrame050,25.6069,0.7077,34.090088
phantomFrame051,25.5332,0.6832,34.493713
phantomFrame052,25.6083,0.6760,33.940308
phantomFrame053,25.4429,0.7075,33.379272
phantomFrame054,25.4144,0.6812,35.243591
phantomFrame055,25.3451,0.6754,33.921875
phantomFrame056,25.4230,0.7008,33.418701
phantomFrame057,25.3575,0.6768,33.518066
phantomFrame058,25.6812,0.7030,34.008911
phantomFrame059,25.6882,0.6830,33.321228
phantomFrame060,25.5742,0.6873,33.533936
phantomFrame061,25.8242,0.7081,31.393372
phantomFrame062,25.5761,0.6976,31.958984
phantomFrame063,25.6568,0.7075,30.440491
phantomFrame064,25.8900,0.7061,30.289185
phantomFrame065,25.9382,0.6935,32.112305
phantomFrame066,25.7810,0.6887,30.627869
phantomFrame067,25.7079,0.7076,29.622559
phantomFrame068,25.9127,0.7143,29.151001
phantomFrame069,26.3599,0.6643,30.923401
phantomFrame070,25.9041,0.6899,29.138672
phantomFrame071,25.9328,0.6780,30.117737
phantomFrame072,26.1893,0.6858,29.886230
phantomFrame073,26.2860,0.7054,29.145569
phantomFrame074,26.4785,0.6991,28.966309
phantomFrame075,26.1288,0.6746,29.296570
phantomFrame076,26.4627,0.6964,27.890015
phantomFrame077,26.5156,0.7057,27.161682
phantomFrame078,26.6467,0.7172,26.658386
phantomFrame079,27.0976,0.7421,24.906982
phantomFrame080,26.9143,0.7264,25.623230
phantomFrame081,27.3019,0.7491,24.309326
phantomFrame082,27.0546,0.7465,24.527832
phantomFrame083,27.1847,0.7431,24.309998
phantomFrame084,27.1326,0.7262,23.918701
phantomFrame085,27.1376,0.7357,23.164307
phantomFrame086,27.3416,0.7477,22.911682
phantomFrame087,27.3395,0.7446,22.518372
phantomFrame088,27.5107,0.7407,21.879028
phantomFrame089,27.7508,0.7666,20.316956
phantomFrame090,27.4498,0.7716,21.602905
phantomFrame091,28.2118,0.7896,19.512024
phantomFrame092,28.4847,0.7683,19.924316
phantomFrame093,28.4094,0.7785,19.411072
phantomFrame094,28.5476,0.8169,17.504883
phantomFrame095,28.3215,0.8083,16.640503
phantomFrame096,28.7608,0.8139,15.513428
phantomFrame097,28.7331,0.8257,14.815735
phantomFrame098,28.5242,0.8348,13.823425
phantomFrame099,29.2157,0.8169,14.161072
phantomFrame100,29.4292,0.8333,12.814514
phantomFrame101,29.8106,0.8295,12.329895
phantomFrame102,29.8288,0.8417,11.248230
