ImageName, PSNR, SSIM, MSE
phantomFrame000,31.0969,0.9020,14.121460
phantomFrame001,28.7527,0.8987,18.628052
phantomFrame002,27.4755,0.8867,21.551636
phantomFrame003,26.9822,0.8748,25.900513
phantomFrame004,27.1970,0.8744,27.535034
phantomFrame005,26.5614,0.8538,29.247559
phantomFrame006,26.5110,0.8508,30.002808
phantomFrame007,25.2973,0.8420,31.366638
phantomFrame008,24.6125,0.8384,32.007507
phantomFrame009,24.2891,0.8249,33.509399
phantomFrame010,24.5991,0.8075,35.197876
phantomFrame011,25.3978,0.8055,35.676636
phantomFrame012,26.2285,0.8244,33.526489
phantomFrame013,26.2002,0.8192,32.756897
phantomFrame014,26.2794,0.8237,32.065796
phantomFrame015,26.2696,0.8042,33.676880
phantomFrame016,26.7636,0.8367,29.313782
phantomFrame017,26.7431,0.8376,28.805298
phantomFrame018,27.0048,0.8584,25.989380
phantomFrame019,26.8171,0.8567,25.931885
phantomFrame020,26.9952,0.8747,23.571655
phantomFrame021,27.4195,0.8766,23.843140
phantomFrame022,26.9714,0.8721,23.863708
phantomFrame023,27.8033,0.8868,22.878540
phantomFrame024,27.9668,0.8973,19.536438
