ImageName, PSNR, SSIM, MSE
phantomFrame000,30.6659,0.6485,17.640930
phantomFrame001,35.7043,0.9538,6.312317
phantomFrame002,36.5080,0.9469,6.671082
phantomFrame003,35.5565,0.9465,6.824097
phantomFrame004,35.3939,0.9520,6.764221
phantomFrame005,36.2483,0.9555,6.551025
phantomFrame006,35.6067,0.9500,6.787903
phantomFrame007,34.1427,0.9420,7.659302
phantomFrame008,34.9584,0.9594,7.526367
phantomFrame009,34.2623,0.9469,8.291443
phantomFrame010,34.8921,0.9661,7.376709
phantomFrame011,33.4833,0.9431,9.048096
phantomFrame012,34.2621,0.9511,8.792664
phantomFrame013,34.0234,0.9474,8.732300
phantomFrame014,33.7296,0.9507,9.518982
phantomFrame015,34.0481,0.9528,9.210999
phantomFrame016,33.7203,0.9562,8.796265
phantomFrame017,33.2614,0.9430,10.154541
phantomFrame018,33.8797,0.9559,9.270264
phantomFrame019,33.7107,0.9438,10.060974
phantomFrame020,33.8306,0.9495,10.260437
phantomFrame021,32.6054,0.9479,10.783142
phantomFrame022,32.9422,0.9417,11.292114
phantomFrame023,32.7519,0.9360,12.630432
phantomFrame024,32.4846,0.9341,13.008362
phantomFrame025,32.3344,0.9183,13.893921
phantomFrame026,29.0216,0.8873,16.550049
phantomFrame027,28.5975,0.8866,17.296082
phantomFrame028,28.9438,0.9071,17.177002
phantomFrame029,28.0703,0.8614,19.245911
phantomFrame030,28.7626,0.9019,18.180176
phantomFrame031,28.2083,0.9016,18.184204
phantomFrame032,28.0994,0.8890,19.320435
phantomFrame033,28.1959,0.9095,18.200256
phantomFrame034,27.8890,0.8941,18.570312
phantomFrame035,28.0270,0.8892,20.060425
phantomFrame036,27.8691,0.9001,19.524048
phantomFrame037,28.0884,0.8816,20.372864
phantomFrame038,27.9664,0.8995,19.451355
phantomFrame039,27.9374,0.9007,18.475281
phantomFrame040,28.3840,0.8973,19.227661
phantomFrame041,28.7386,0.9201,17.080505
phantomFrame042,28.5342,0.9010,18.582703
phantomFrame043,28.7484,0.9220,17.743958
phantomFrame044,28.7843,0.9164,16.842041
phantomFrame045,28.9012,0.8883,17.823303
phantomFrame046,31.5901,0.9138,16.588745
phantomFrame047,32.1858,0.9434,14.685059
phantomFrame048,32.1690,0.9512,13.806152
phantomFrame049,32.2019,0.9449,12.602051
phantomFrame050,32.5226,0.9488,13.001038
phantomFrame051,31.9187,0.9428,13.115479
phantomFrame052,32.1327,0.9533,12.308594
phantomFrame053,32.6503,0.9667,12.275940
phantomFrame054,32.5942,0.9508,11.406616
phantomFrame055,32.9352,0.9617,11.188965
phantomFrame056,32.1206,0.9422,12.138794
phantomFrame057,32.9303,0.9624,11.788818
phantomFrame058,33.4325,0.9657,11.203674
phantomFrame059,32.4514,0.9566,11.243347
phantomFrame060,32.8328,0.9540,11.415710
phantomFrame061,33.7930,0.9692,10.072571
phantomFrame062,34.5022,0.9782,9.325684
phantomFrame063,33.9330,0.9706,9.648804
phantomFrame064,33.3362,0.9701,9.396729
phantomFrame065,33.9114,0.9682,9.607666
phantomFrame066,34.1345,0.9663,9.769653
phantomFrame067,34.9865,0.9736,8.892578
phantomFrame068,35.3294,0.9790,8.795288
phantomFrame069,35.6577,0.9851,8.032410
phantomFrame070,35.0739,0.9778,8.559448
phantomFrame071,35.1225,0.9823,7.912720
phantomFrame072,36.0488,0.9811,7.744690
phantomFrame073,35.8443,0.9800,7.554626
phantomFrame074,35.0978,0.9707,8.245605
phantomFrame075,34.7467,0.9751,8.001038
phantomFrame076,34.6490,0.9773,8.793579
phantomFrame077,34.7067,0.9691,8.655701
phantomFrame078,35.8233,0.9780,7.699402
phantomFrame079,36.1395,0.9798,7.379578
phantomFrame080,35.6735,0.9682,7.968384
phantomFrame081,35.7816,0.9797,7.332092
phantomFrame082,35.9557,0.9779,7.391663
phantomFrame083,36.2011,0.9802,6.735229
phantomFrame084,35.9056,0.9793,6.661377
phantomFrame085,35.2353,0.9597,8.462463
phantomFrame086,36.3595,0.9675,6.973267
phantomFrame087,35.8511,0.9683,7.075195
phantomFrame088,35.3651,0.9670,7.545288
phantomFrame089,35.5002,0.9739,7.294373
phantomFrame090,35.3485,0.9583,7.477295
phantomFrame091,35.5096,0.9707,6.957764
phantomFrame092,36.0300,0.9627,6.830383
phantomFrame093,36.5751,0.9705,5.870300
phantomFrame094,36.0258,0.9629,6.486755
phantomFrame095,36.6200,0.9633,6.035706
phantomFrame096,36.1380,0.9527,6.869507
phantomFrame097,36.9131,0.9632,5.939514
phantomFrame098,36.6815,0.9541,6.367615
phantomFrame099,36.3657,0.9492,7.186279
phantomFrame100,35.6360,0.9428,7.011658
phantomFrame101,36.7633,0.9482,6.325806
