Epoch	TrainLoss	ValidLoss	PSNR	PSNR_std	SSIM	SSIM_std	NRMSE	NRMSE_std
1	0.61602960	0.24378071	24.890	1.759	0.807	0.036	0.058	0.011
2	0.52492729	0.16337274	27.722	1.451	0.870	0.023	0.042	0.007
3	0.51558262	0.13007605	28.946	1.792	0.919	0.016	0.036	0.007
4	0.51340734	0.11227158	29.528	1.842	0.942	0.014	0.034	0.007
5	0.51580050	0.11846527	29.425	1.861	0.902	0.013	0.035	0.008
6	0.51499219	0.12378560	30.122	1.726	0.941	0.011	0.032	0.007
7	0.50890850	0.11716750	30.686	2.009	0.949	0.016	0.030	0.007
8	0.50746695	0.11068319	29.724	1.272	0.958	0.008	0.033	0.005
9	0.50581066	0.09896873	30.815	1.796	0.956	0.015	0.029	0.007
10	0.50648145	0.09785370	31.036	1.724	0.967	0.009	0.029	0.006
11	0.50555600	0.10430411	30.693	2.126	0.948	0.018	0.030	0.008
12	0.50620439	0.09948550	30.886	1.531	0.964	0.011	0.029	0.006
13	0.50828422	0.18966095	31.040	1.863	0.925	0.033	0.029	0.007
14	0.50815158	0.10148956	30.972	1.780	0.959	0.013	0.029	0.006
15	0.50507250	0.08413415	30.884	1.853	0.966	0.010	0.029	0.007
16	0.50562832	0.09280653	31.179	1.868	0.964	0.011	0.028	0.007
17	0.50317613	0.08861585	30.580	1.836	0.963	0.010	0.030	0.007
18	0.50494929	0.08632495	31.043	2.006	0.972	0.010	0.029	0.007
19	0.50434696	0.09894350	30.811	1.752	0.961	0.012	0.029	0.007
20	0.50493276	0.08384958	30.704	1.950	0.969	0.010	0.030	0.007
21	0.50428329	0.07194974	32.038	1.972	0.975	0.010	0.026	0.007
22	0.50386920	0.07841731	31.019	1.886	0.974	0.010	0.029	0.007
23	0.50418746	0.10998113	30.704	1.933	0.966	0.010	0.030	0.007
24	0.50421211	0.14267615	29.724	1.598	0.963	0.009	0.033	0.007
25	0.51066416	0.13978517	31.217	1.937	0.949	0.019	0.028	0.007
26	0.50453204	0.09383480	30.657	1.952	0.965	0.009	0.030	0.007
27	0.50389148	0.08069606	30.836	2.087	0.972	0.010	0.030	0.007
28	0.50444917	0.08252259	31.045	1.904	0.969	0.010	0.029	0.007
29	0.50284341	0.08486378	31.252	2.144	0.970	0.010	0.028	0.007
30	0.50252066	0.07640566	30.824	2.144	0.968	0.010	0.030	0.008
31	0.50319440	0.08783322	30.512	1.893	0.969	0.010	0.031	0.007
32	0.50334952	0.07956646	31.700	2.278	0.971	0.012	0.027	0.008
33	0.50201104	0.08019976	31.278	2.219	0.973	0.010	0.028	0.008
34	0.50233567	0.08057768	30.611	2.050	0.972	0.010	0.030	0.007
